#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,סגור
InputActionFwdFiveSeconds,הוקלט: הרץ קדימה חמש שניות
InputActionBackFiveSeconds,הוקלט: הרץ אחורה חמש שניות
InputActionNextWindow,כללי: הצג את החלון הבא
InputActionPreviousWindow,כללי: הצג את החלון הקודם
InputActionNextTab,כללי: הצג את התצוגה הבאה
InputActionPreviousTab,כללי: הצג את התצוגה הקודמת
InputActionNextView,כללי: הצג את לוח התמונות הבא
InputActionPreviousView,כללי: הצג את לוח התמונות הקודם
InputActionSnapshot,כללי: שמור תמונה
InputActionToggleFullScreen,כללי: עבור למצב מסך מלא
InputActionLayout1,פריסה 1
InputActionLayout2,פריסה 2
InputActionLayout3,פריסה 3
InputActionLayout4,פריסה 4
InputActionLayout5,פריסה 5
InputActionLayout6,פריסה 6
InputActionLayout7,פריסה 7
InputActionLayout8,פריסה 8
InputActionLayout9,פריסה 9
InputActionLayout10,פריסה 0
InputActionLayoutNext,פריסה: הסוג הבא
InputActionLayoutPrevious,פריסה: הסוג הקודם
InputActionToggleListen,כללי: האזנה/השתקה
InputActionSpeak,כללי: ווקי-טוקי סלולרי (PTT)
InputActionToggleManualRecording,כללי: התחל/עצור הקלטה ידנית
InputActionPtzPresetGo,PTZ: עבור לתחנה קבועה %1%
InputActionPtzPatternRun,PTZ: הפעל תבנית %1%
InputActionPtzAuxRun,PTZ: הפעל פריט עזר %1%
InputActionPtzAuxStop,PTZ: עצור פריט עזר %1%
InputActionPtzOpenIris,PTZ: פתח צמצם
InputActionPtzCloseIris,PTZ: סגור צמצם
InputActionPtzFocusNear,PTZ: התמקד באזור קרוב
InputActionPtzFocusFar,PTZ: התמקד באזור רחוק
InputActionPtzToggleMenu,PTZ: החלף מצב תפריט
InputActionInstantReplay30,הפעלה חוזרת: 30 שניות
InputActionInstantReplay60,הפעלה חוזרת: 60 שניות
InputActionInstantReplay90,הפעלה חוזרת: 90 שניות


#################################################
# Export Settings Setup Strings
#################################################
WebExportPanelTitle,יצא סרטון
WebExportPanelInProgress,יש פעולות יצוא בביצוע
WebExportPanelNotInProgress,אין פעולות יצוא בביצוע
WebExportPanelProgress,התקדמות


#################################################
# Import Settings Setup Strings
#################################################


#################################################
# Device Recording Setup Strings
#################################################

DeviceRecordingSetupText,הקלטה ידנית
DeviceRecordingManualTimeLabel,משך הקלטה ידנית:
DeviceRecordingManualTimePostLabel,דקות
DeviceRecordingManualPreTimeLabel,זמן הקלטה עם הפעלה מראש:
DeviceRecordingManualPreTimePostLabel,שניות

#################################################
# Server Setup Strings
#################################################

SetupWindowServerVersionText,גרסת שרת:
SetupPageFormText,%1% - %2%
SetupPageLoadingText,טוען הגדרות...
SetupPageLoadingFailedText,אירעה שגיאת תקשורת בעת טעינת הגדרות מהשרת.
SetupPageLocksAcquired,לא ניתן לערוך הגדרות אלו מכיוון שמשתמש עורך אותן במחשב אחר.
SetupPageSavingText,שומר הגדרות...

#################################################
# Cluster Setup Strings
#################################################

ClusterGeneralSetupText,שם אתר
ClusterSiteViewSetupText,עורך תצוגת אתר

#################################################
# Site Upgrade Strings
#################################################
SiteUpgradeViewTitle,שדרוג האתר
SiteUpgradeViewFileType,Avigilon Installers (*.exe, *.fp)|*.exe;*.fp

SiteUpgradeViewInstallerGroup,העלה מתקין
SiteUpgradeViewUploadInstallerButton,העלה
SiteUpgradeViewRemoveButton,הסר
SiteUpgradeViewCancelUploadButton,ביטול

SiteUpgradeViewStatusUploadingFile,מעלה את %1%
SiteUpgradeViewStatusUploadingMBytes,%1% MB מתוך %2% MB.
SiteUpgradeViewStatusPreparing,מתכונן להעלות את המתקין...
SiteUpgradeViewStatusUpdatingInstallerStatus,מעדכן את סטטוס תוכנית ההתקנה.
SiteUpgradeViewStatusDistributing,מפיץ מתקין ל-%1% שרתים.
SiteUpgradeViewStatusDistributingSingular,מפיץ מתקין לשרת %1%.
SiteUpgradeViewStatusUpgradeAvailable,שדרג שרתים לגרסה %1%.
SiteUpgradeViewStatusInstallerButNoUpgrade,קיימת תוכנית התקנה, אך לא נדרשים שדרוגי שרתים.
SiteUpgradeViewStatusNoInstaller,לא קיים מתקין. 
SiteUpgradeViewStatusUploadFailed,העלאת המתקין נכשלה.
SiteUpgradeViewStatusDistributionFailed,הפצת המתקין לכל השרתים נכשלה.

SiteUpgradeViewCancelWarning,לבטל את ההעלאה?
SiteUpgradeViewRemoveWarning,להסיר את המתקין?
SiteUpgradeViewInvalid,מתקין זה אינו מתקין חוקי של Avigilon.
SiteUpgradeViewRemoveFailed,התרחשה שגיאה במהלך הסרת המתקין.
SiteUpgradeViewInstallerNewer,המתקין חדש יותר מהגרסה של הלקוח (גרסה %1%). שדרג תחילה את הלקוח.
SiteUpgradeViewInstallerIncompatible,המתקין אינו תואם לאף שרת באתר זה.

SiteUpgradeConfirmViewTitle,אשר את המתקין שנבחר
SiteUpgradeConfirmViewText,המתקין יופץ לשרתים שברשימה. המתקין הקודם יוסר.
SiteUpgradeConfirmViewAffectedServers,השרתים המושפעים
SiteUpgradeConfirmViewGroupInstallerInfo,פרטי המתקין
SiteUpgradeConfirmViewVersion,גרסת ACC: %1%
SiteUpgradeConfirmViewFirmwareVersion,גרסת קושחה: %1%
SiteUpgradeConfirmViewSupportedPlatforms,פלטפורמות נתמכות: %1%
SiteUpgradeConfirmViewSize,גודל: %1% MB
SiteUpgradeConfirmViewNoAffectedServers,לא ישודרגו שרתים כלשהם.

SiteUpgradeViewUpgradeButton,שדרג
SiteUpgradeViewServerGroup,שדרג שרתים
SiteUpgradeViewHeaderServer,שרת
SiteUpgradeViewHeaderVersion,גרסת ACC
SiteUpgradeViewHeaderPlatform,פלטפורמה
SiteUpgradeViewHeaderFirmwareVersion,גרסת קושחה
SiteUpgradeViewHeaderStatus,סטטוס
SiteUpgradeViewServerStatusUpgrading,משדרג...
SiteUpgradeViewServerStatusCurrent,מעודכן 
SiteUpgradeViewServerStatusDistributing,מפיץ
SiteUpgradeViewServerStatusNotApplicable,לא ישים
SiteUpgradeViewUpgradeError,התרחשה שגיאה במהלך הניסיון לשדרג את השרת.
SiteUpgradeViewOldClient,המתקין חדש יותר מהלקוח בו אתה משתמש. יש לשדרג את הלקוח תחילה.
SiteUpgradeViewUpgradeWarning,כדי להשלים את השדרוג יש להפעיל מחדש את השרת. להמשיך?
SiteUpgradeViewSingleServerWarning,כדי להשלים את השדרוג יש להפעיל מחדש את השרת. אתה תנותק מהאתר. להמשיך?

#################################################
# Rank Hierarchy Setup Strings
#################################################

RankHierarchySetupText,ערוך היררכיה ארגונית
RankHierarchySetupNewRank,הוסף
RankHierarchySetupDeleteRank,מחק
RankHierarchySetupRenameRank,שנה שם
RankHierarchySetupRankLabel,היררכיה ארגונית
RankHierarchySetupConfirmRemoveRank,למחוק את דירוג %1% ואת כל הדירוגים מתחתיו?
RankHierarchySetupEditRankLabel,שם:
RankHierarchySetupNewRankText,הוסף דירוג
RankHierarchySetupCreateNewRankHierarchy,באתר זה לא קיימת היררכיה ארגונית. ליצור היררכיה?
RankHierarchySetupGlobalRank,עולמי
RankHierarchySetupErrorCannotDeleteRootNode,אין אפשרות להסיר את דירוג '%1%'.
RankHierarchySetupSynchronizationLabel,על אתרי צאצא תוחל היררכיה ארגונית.
RankHierarchySetupChildDeserializationFailed,אין אפשרות להתחבר לאתר צאצא.
RankHierarchySetupChildUnavailable,לא זמין
EditRankHierarchyToolTip,ערוך היררכיה ארגונית
DefaultUnrankedText,לא מדורג

#################################################
# Child Site Setup Strings
#################################################

ChildSiteSetupParentSiteLabel,התחבר אל: 
ChildSiteSetupRankLabel,דירוג: 

#################################################
# General Rank Hierarchy Strings
#################################################

RankHierarchyLoadingFailedText,נכשלה טעינת היררכיה ארגונית.
RankHierarchyCommitFailedText,נכשלה שמירת שינויים בהיררכיה הארגונית.

#################################################
# General Setup Strings
#################################################

GeneralServerSetupText,שם שרת
GeneralServerSetupName,שם שרת:
GeneralClusterSetupName,שם אתר:

#################################################
# Schedule Setup Strings
#################################################

SchedulerSetupText,תזמון הקלטה
SchedulerGroupBoxTemplates,תבניות:
AddTemplateButtonText,הוסף תבנית
SchedulerButtonDeleteTemplate,מחק תבנית
SchedulerButtonRenameTemplate,שנה שם תבנית
DefaultTemplateName,ברירת מחדל
SchedulerReferenceFrameIntervalText,הקלט תמונת ייחוס כל:
SchedulerDefaultWeekLabel,שבוע ברירת מחדל
DefaultNewTemplateName,תבנית חדשה

SchedulerSetAreaLabel,הגדר אזור
SchedulerClearAreaLabel,נקה אזור

SchedulerTemplateEventsTitle,מצב הקלטה:
SchedulerTemplateEventsMotion,תנועה
SchedulerTemplateEventsAlarm,התראות
SchedulerTemplateEventsPos,טרנזקציות POS
SchedulerTemplateEventsDigitalInput,קלטים דיגיטליים
SchedulerTemplateEventsLpr,לוחיות רישוי
SchedulerTemplateEventsRecordAll,מתמשך

#################################################
# Recording and Bandwidth Setup Strings
#################################################

BandwidthSetupText,הקלטה ורוחב פס
BandwidthDeviceNameColumn,מצלמה
BandwidthDeviceAgingColumn,התיישנות נתונים
BandwidthDeviceTotalTimeColumn,זמן הקלטה כולל
BandwidthDeviceRetentionColumn,זמן הקלטה מרבי
BandwidthDeviceStatsColumn,רוחב פס

BandwidthSetupCurrentRateFps,‎%1$.1f ips
BandwidthSetupCurrentRateData,‎%1$.1f Mbps
BandwidthSetupCurrentRateDataKbps,%1$.1f קילו-בייט לשנייה
BandwidthSetupNotPresent,לא מופיע

BandwidthSetupDutyRateLabel,זמן הקלטה כולל משוער מבוסס על הקלטה רצופה

BandwidthDeviceTotalLabel,%1% ימים, %2% שעות
BandwidthDeviceRetentionPostLabel,ימים
BandwidthDeviceRetentionMax,מרבי

BandwidthDeviceAgingLabel,%1%י' %2%ש'
BandwidthSetupFullRateLabel,רוחב פס גבוה
BandwidthSetupHalfRateLabel,קצב העברת חצי תמונה
BandwidthSetupQuarterRateLabel,קצב העברת רבע תמונה
BandwidthSetupLowQualityLabel,רוחב פס נמוך
BandwidthSetupVolumeUsagePreLabel,אחסון מנוצל:
BandwidthSetupVolumeUsagePostLabel,%1%%%
BandwidthSetupLinkToolTip,קישור הגדרות מצלמה

#################################################
# Analytics Server Setup Strings
#################################################

AnalyticsSetupText,ניתוח נתונים
AnalyticsDeviceNameColumn,מצלמה
AnalyticsDeviceLoadColumn,טעינה
AnalyticsDeviceEnableColumn,אפשר

AnalyticsSetupTotalCapacityLabel,סה"כ טעינת ניתוח נתונים
AnalyticsLoadSettingInfo,טעינת ניתוח נתונים של המצלמה מבוססת על  הגדרות דחיסה וקצב תמונה נוכחיות.

#################################################
# Users and Groups Setup Strings
#################################################

UserAdminSetupText,משתמשים וקבוצות

UserAdminUserTabText,משתמשים
UserNameColumnTitle,שם משתמש
UserFirstNameColumnTitle,שם פרטי
UserLastNameColumnTitle,שם משפחה
AddUserButtonText,הוספת משתמש...
RemoveUserButtonText,מחק משתמש
EditUserButtonText,עריכת משתמש...

UserAddDialogTitle,הוסף משתמש
UserEditDialogTitle,ערוך משתמש
UserGeneralTabTitle,כללי
UserInformationGroupBoxText,פרטי משתמש
UserEditNoNameText,יש לציין שם משתמש.
UserEditDuplicateText,כבר קיים משתמש בשם שצוין.
UserFirstNamePrompt,שם פרטי:
UserLastNamePrompt,שם משפחה:
UserEmailAddressPrompt,כתובת דואר אלקטרוני:
UserEditBadEmail,כתובת הדואר האלקטרוני אינה חוקית.
UserDisabledText,השבת משתמש
UserIdleTimeoutGroupBoxText,הזמן שהוקצב לכניסה הסתיים
UserIdleTimeoutEnableText,אפשר הקצבת זמן לכניסה
UserIdleTimeoutText,זמן חוסר פעילות:
UserIdleTimeoutTooShort,זמן חוסר הפעילות חייב להיות לפחות %1% דקות.
UserPasswordGroupBoxText,סיסמה
UserEditNoPasswordText,יש לציין סיסמה.
UserPasswordExpireNextLoginText,דרוש החלפת סיסמה בכניסה הבאה
UserPasswordNoExpireText,תוקף הסיסמה לא יפוג אף פעם
UserPasswordExpiryPrompt,תפוגת סיסמה (ימים):
UserChangePasswordText,החלפת סיסמה...
UserGroupEditParentSiteUnavailable,לא זמין
NewPasswordPrompt,סיסמה:
NewPasswordConfirmPrompt,אישור סיסמה:
UserGroupTabTitle,חבר ב-
UserGroupsGroupBoxText,קבוצות:
UserEffectivePermissionsText,הרשאות משתמש:
UserEffectiveDevicesText,הרשאות גישה:
NoGroupMembershipText,משתמש זה אינו חבר באף קבוצה ולא יהיו לו הרשאות באתר.  האם אתה בטוח שברצונך להמשיך?
UserAdminGroupTabText,קבוצות
GroupNameColumnTitle,שם קבוצה
GroupRankColumnTitle,Rank
GroupColumnTitle,קבוצה
SiteNameColumnTitle,אתר
AddGroupButtonText,הוספת קבוצה...
RemoveGroupButtonText,מחק קבוצה
EditGroupButtonText,עריכת קבוצה...
ApplyToSitesButtonText,החלה על אתרים...
GroupEditDialogTitle,ערוך קבוצה
GroupEditDialogShowRankTreeLabel,הצג היררכיה ארגונית
GroupEditDialogHideRankTreeLabel,הסתר היררכיה ארגונית
GroupNameLabel,שם:
GroupRankLabel,דירוג:
GroupRankUnranked,לא מדורג
GroupRankGlobal,גלובלי
GroupRankNational,ארצי
GroupRankRegional,אזורי
GroupRankState,מדינה
GroupRankLocal,מקומי
GroupRankLegacyGlobal,עולמי (100)
GroupRankLegacyNational,ארצי (200)
GroupRankLegacyRegional,אזורי (300)
GroupRankLegacyState,מדינתי (400)
GroupRankLegacyLocal,מקומי (500)
GroupRankOrphanedRank,לא זמין
GroupEditNoNameText,יש לציין שם קבוצה.
GroupEditNoHierarchicalRankText,לקבוצה חייב להיות דירוג בהיררכיה הארגונית. 
GroupEditDuplicateText,כבר קיימת קבוצה בשם שצוין.
GroupEditGroupTabTitle,קבוצה
GroupEditMembersTabTitle,חברים
GroupPermissionsGroupBoxLabel,הרשאות קבוצה:
GroupPermissionLiveVideo,הצגת תמונות חיות
GroupPermissionControlPTZ,שימוש בפקדי PTZ
GroupPermissionLockPTZ,נעל פקדי PTZ
GroupPermissionRecodedVideo,הצגת תמונות שהוקלטו
GroupPermissionExportVideo,ייצוא תמונות
GroupPermissionBackup,אחסון תמונות בארכיון
GroupPermissionCameraAnalyticsCreateTeachMarkers,צור סמני לימוד
GroupPermissionManualRecord,הפעלת הקלטה ידנית
GroupPermissionManageSavedViews,ניהול תצוגות שנשמרו
GroupPermissionUseDigitalOutputs,הפעלת פלטים דיגיטליים
GroupPermissionUseMicrophones,האזנה למיקרופונים
GroupPermissionUseSpeakers,שידור לרמקולים
GroupPermissionSetupCamera,הגדרת מצלמות
GroupPermissionSetupCameraGeneral,קביעת הגדרות כלליות
GroupPermissionSetupCameraNetwork,קביעת הגדרות רשת
GroupPermissionSetupCameraImageAndDisplay,קביעת הגדרות תמונה ותצוגה
GroupPermissionSetupCameraImageRate,קביעת הגדרות דחיסה וקצב תמונה
GroupPermissionSetupCameraImageDimensions,קביעת הגדרות ממדי תמונה
GroupPermissionSetupCameraMotionDetection,קביעת הגדרות זיהוי תנועה
GroupPermissionSetupCameraPrivacyZones,קביעת הגדרות אזור פרטיות
GroupPermissionSetupCameraManualRecording,קביעת הגדרות הקלטה ידנית
GroupPermissionSetupCameraDigitalIO,קביעת הגדרות קלט ופלט דיגיטלי
GroupPermissionSetupCameraMicrophone,קביעת הגדרות מיקרופון
GroupPermissionSetupCameraSpeaker,קביעת הגדרות רמקול
GroupPermissionSetupCameraAnalytics,Setup analytics settings
GroupPermissionSetupCameraAnalyticsSetupTeach,הגדר לימוד לפי דוגמה
GroupPermissionSetupServer,הגדרת שרתים
GroupPermissionSetupSite,הגדרת אתרים
GroupPermissionSetupClusterGeneral,הגדרת שם
GroupPermissionSetupServerGeneral,ניהול שרת
GroupPermissionsSetupServerMgmt,ניהול אתר
GroupPermissionSetupServerSiteView,הגדרת תצוגת אתר
GroupPermissionSetupServerSchedule,קביעת הגדרות תזמון
GroupPermissionSetupServerRecordingAndBW,קביעת הגדרות הקלטה ורוחב פס
GroupPermissionSetupServerUsersAndGroups,קביעת הגדרות משתמש וקבוצה
GroupPermissionSetupServerLdap,הגדרת סנכרון Active Directory
GroupPermissionSetupServerAlarms,קביעת הגדרות ניהול התראות
GroupPermissionSetupServerScheduledBackup,קביעת הגדרות אחסון מתוזמן בארכיון
GroupPermissionSetupServerPOSTransactions,קביעת הגדרות טרנזקציית POS
GroupPermissionSetupServerLPR,קביעת הגדרות LPR
GroupPermissionSetupServerEmail,קביעת הגדרות של הודעות חיצוניות
GroupPermissionSetupServerRules,קביעת הגדרות מנגנון כללים
GroupPermissionSetupServerSystemLog,הצגת יומני אתר
GroupPermissionSetupConnectCamera,חיבור וניתוק מצלמות
GroupPermissionManageVirtualMatrixViews,ניהול צגי virtual matrix
GroupPermissionManageUserSessions,ניהול הפעלות משתמש
GroupPermissionInitiateCollaborationSession,ייזום הפעלות של שיתוף פעולה
GroupPermissionManageMaps,ניהול מפות
GroupPermissionManageWebLinks,ניהול דפי אינטרנט
GroupPermissionBackupSettings,הגדרות גיבוי
GroupPermissionViewServerStatus,הצג תקינות אתר
GroupPermissionSetupRankHierarchy,הגדר היררכיה ארגונית

GroupDevicesLabel,הרשאות גישה:
AddGroupFormTitle,הוספת קבוצה
AddGroupFormLabel,העתק הרשאות מקבוצה:
AddGroupName,קבוצה חדשה

GroupEditMembersAddUser,הוספת משתמש...
GroupEditMembersRemoveUser,הסר משתמש

GroupEditMembersAddUserNoUsers,אין משתמשים זמינים להוספה לקבוצה זו
GroupEditSiteViewSelectedWarning,קביעת ההרשאה 'הגדרת תצוגת האתר' תעניק גישה קבוצתית לכל ההתקנים שבאתר. להמשיך?
GroupdEditSiteViewSelectedMessage,לא ניתן לשנות הרשאות גישה בזמן שלקבוצה יש הרשאת 'הגדרת תצוגת אתר'.

GroupAdministratorDefaultName,מנהלים
GroupPowerUserDefaultName,משתמשים מתקדמים
GroupStandardUserDefaultName,משתמשים רגילים
GroupRestrictedUserDefaultName,משתמשים מוגבלים
GroupWebUserDefaultName,משתמשי אינטרנט

UserAdminADTabText,Active Directory
UserAdminADAddGroupButton,הוספת קבוצה...
UserAdminADDeleteGroupButton,מחק קבוצה
UserAdminADChangeUserButton,שינוי...
UserAdminADUserGroupBoxLabel,סנכרון Active Directory
UserAdminADDisabledLabel,סנכרון Active Directory מושבת
UserAdminADDomainUserLabel,משתמש בתחום:
UserAdminADGroupListLabel,קבוצות Active Directory:

UserAdminADUserDialogTitle,קביעת תצורה של Active Directory
UserAdminADUUserDialogEnabledLabel,הפעלת סנכרון Active Directory
UserAdminADUserDialogDomainLabel,תחום (domain):
UserAdminADUserDialogUsernameLabel,משתמש:
UserAdminADUserDialogPasswordLabel,סיסמה:
UserAdminADUserDialogUsernameMissing,יש לציין שם משתמש.

UserAdminGroupsToApply,בחר קבוצות:
UserAdminSelectSitesApplyTo,החל על אתרים:
ApplyingGroupsAndPermissionsLabel,מחיל על קבוצות...

UserMgmtDeleteUserConfirm,האם אתה בטוח שברצונך למחוק את המשתמש %1%?
UserMgmtDeleteGroupConfirm,האם אתה בטוח שברצונך למחוק את הקבוצה %1%?

#################################################
# Alarms Setup Strings
#################################################

AlarmMgmtSetupTitle,התראות
AlarmMgmtListLabel,התראות:
AlarmMgmtAddLabel,הוסף
AlarmMgmtRemoveLabel,מחק
AlarmMgmtEditLabel,ערוך

AlarmMgmtLoadingLabel,טוען...

AlarmMgmtDefaultAlarmName,התראה חדשה

AlarmMgmtPriorityLabel,קדימות התראה: %1%
AlarmMgmtEnabledLabel,ההתראה מופעלת
AlarmMgmtDisabledLabel,ההתראה מושבתת
AlarmMgmtScheduleLabel,תזמון ההתראה הוא '%1%'

AlarmMgmtTriggerMotion,התראה מופעלת כאשר מזוהה תנועה במצלמה %1%
AlarmMgmtTriggerMotionPlural,התראה מופעלת כאשר מזוהה תנועה במצלמות %1%
AlarmMgmtTriggerAnalytics,התראה הופעלה אירוע ניתוח וידאו התחיל במצלמה %1%
AlarmMgmtTriggerAnalyticsPlural,התראה הופעלה אירוע ניתוח וידאו התחיל במצלמות %1%
AlarmMgmtTriggerDigitalInput,התראה מופעלת כאשר מופעל הקלט הדיגיטלי %1%
AlarmMgmtTriggerDigitalInputPlural,התראה מופעלת כאשר מופעלים הקלטים הדיגיטליים %1%
AlarmMgmtTriggerPosException,התראה מופעלת כאשר מתרחשת חריגה במקור %1% של טרנזקציית POS
AlarmMgmtTriggerPosExceptionPlural,התראה מופעלת כאשר מתרחשת חריגה במקורות %1% של טרנזקציית POS
AlarmMgmtTriggerDeviceError,התראה מופעלת כאשר מתרחשת שגיאה במצלמה %1%
AlarmMgmtTriggerDeviceErrorPlural,התראה מופעלת כאשר מתרחשת שגיאה במצלמות %1%
AlarmMgmtTriggerSystemError,התראה מופעלת כאשר מתרחשת שגיאת מערכת
AlarmMgmtTriggerNull,התראה מופעלת במקרה של אירוע תוכנה חיצוני
AlarmMgmtTriggerLprMatch,התראה מופעלת במקרה של התאמה בין לוחית רישוי ורשימת מעקב

AlarmMgmtAutoAckMotion,ההתראה תאושר אוטומטית בעת עצירת תנועה
AlarmMgmtAutoAckAnalytics,התראה מאושרת באופן אוטומטי אירוע ניתוח וידאו נפסק
AlarmMgmtAutoAckDigitalInput,ההתראה תאושר אוטומטית בעת נטרול קלט דיגיטלי

AlarmMgmtCamerasRecordLabel,ההתראה מקושרת למצלמה %1%
AlarmMgmtCamerasRecordPluralLabel,ההתראה מקושרת למצלמות %1%
AlarmMgmtCamerasRecordViewLabel,ההתראה מקושרת למצלמה %1%
AlarmMgmtCamerasRecordViewPluralLabel,ההתראה מקושרת למצלמות %1%
AlarmMgmtUsersLabel,מקבל ההתראה הוא '%1%'
AlarmMgmtUsersPluralLabel,מקבלי ההתראה הם '%1%'
AlarmMgmtSoundLabel,השמע צליל '%1%' כאשר מופעלת התראה.

AlarmMgmtAckDigitalOutputLabel,בעת האישור, הפעל פלט דיגיטלי %1%.
AlarmMgmtAckDigitalOutputPluralLabel,בעת האישור, הפעל פלטים דיגיטליים %1%.
AlarmMgmtAckDigitalOutputGrantDenyLabel,בעת האישור, הפעל פלט דיגיטלי %1%.  נדרש אישור משתמש.
AlarmMgmtAckDigitalOutputGrantDenyPluralLabel,בעת האישור, הפעל פלטים דיגיטליים %1%.  נדרש אישור משתמש.

# Alarm wizard strings
AlarmWizardTitle,הוסף התראה

# Alarm general pane strings
AlarmWizardGeneralTitle,בחר מאפייני התראה
AlarmWizardGeneralNameLabel,שם:
AlarmWizardGeneralNameEmptyError,חובה לציין שם התראה.
AlarmWizardGeneralPriorityLabel,קדימות:
AlarmWizardGeneralEnabledLabel,אפשר התראה
AlarmWizardGeneralScheduleLabel,תזמון:

# Alarm trigger pane strings
AlarmWizardTriggerTitle,בחירת מקור להפעלת התראה
AlarmWizardTriggerTypeLabel,מקור להפעלת התראה:
AlarmWizardTriggerMotion,זיהוי תנועה
AlarmWizardTriggerAnalytics,אירוע ניתוח וידאו
AlarmWizardTriggerDigitalInput,הפעלת קלט דיגיטלי
AlarmWizardTriggerLprMatch,התאמה בין לוחית רישוי ורשימת מעקב
AlarmWizardTriggerPosException,חריגת טרנזקציית POS
AlarmWizardTriggerDeviceError,שגיאת מצלמה
AlarmWizardTriggerSystemError,שגיאת מערכת
AlarmWizardTriggerNull,אירוע תוכנה חיצוני
AlarmWizardTriggerAutoAckMotion,אשר אוטומטית התראה בעת עצירת תנועה
AlarmWizardTriggerAutoAckAnalytics,אישור אוטומטי של התראה כשאירוע ניתוח וידאו נפסק
AlarmWizardTriggerAutoAckDigitalInput,אשר אוטומטית התראה בעת ביטול פעילות קלט דיגיטלי
AlarmWizardTriggerAutoAckTrigger,אשר אוטומטית התראה מיד לאחר הפעלתה

# Alarm linked cameras pane strings
AlarmWizardCamerasTitle,בחירת מצלמות מקושרות
AlarmWizardCamerasLabel,בחר את המצלמות שיקושרו להתראה זו:
AlarmWizardCamerasViewLabel,הצג את המצלמות המקושרות כשמופעלת התראה
AlarmWizardCamerasPreBufferPreLabel,זמן הקלטה לפני התראה:
AlarmWizardCamerasPostBufferPreLabel,זמן הקלטה לאחר התראה:
AlarmWizardCamerasMaxRecordPreLabel,משך הקלטה:

# Alarm users pane strings
AlarmWizardUsersTitle,בחירת מקבלי התראה
AlarmWizardUsersLabel,בחר את המשתמשים שיקבלו הודעה כשהתראה זו תופעל:
AlarmWizardUsersAudio,השמע צליל כאשר מופעלת התראה:

# Alarm recipients pane strings
AlarmRecipientsSetupPageUserName,משתמש/קבוצה
AlarmRecipientsSetupPageFirstName,שם פרטי
AlarmRecipientsSetupPageLastName,שם משפחה
AlarmRecipientsSetupPageTimeDelay,זמן המתנה
AlarmRecipientsAddRecipientButtonText,הוספת נמענים...
AlarmRecipientsRemoveRecipientsButtonText,הסרת נמענים
AlarmRecipientsSetupPageMinutesLabel,ד
AlarmRecipientsSetupPageHoursLabel,ש

# Alarm acknowledge pane strings
AlarmWizardAckTitle,בחירת פעולה לאישור התראה
AlarmWizardAckRequireTextOnAck,דרוש תגובה בעת אישור התראה
AlarmWizardAckDigitalOutputLabel,הפעל את הפלטים הדיגיטליים הבאים בעת אישור התראה
AlarmWizardAckGrantDenyLabel,דרוש אישור של המשתמש לפני הפעלת פלטים דיגיטליים

AlarmDeleteAutoAckNote,התראה זו אושרה מאחר שהיא נמחקת
AlarmShutdownAutoAckNote,התראה זו אושרה מאחר שמתבצע כיבוי של המערכת

#################################################
# User Selector Setup Strings
#################################################

UserSelectorUsersTitle,בחירת משתמשים
UserSelectorUserName,משתמש/קבוצה
UserSelectorFirstName,שם פרטי
UserSelectorLastName,שם משפחה
UserSelectorAddButtonText,הוסף
UserSelectorCancelButtonText,ביטול
UserSelectorSelected,בחר

#################################################
# Scheduled Backup Setup Strings
#################################################

BackupSetupPageText,אחסון מתוזמן בארכיון
BackupSetupPageEnabledLabel,אפשר אחסונים מתוזמנים בארכיון
BackupSetupPageDevicesLabel,מצלמות לאחסון בארכיון:
BackupSetupPageOptionsLabel,אפשרויות אחסון בארכיון:
BackupSetupPagePeriodLabel,בצע כל:
BackupSetupPagePeriodPostLabel, ימים
BackupSetupPageExecuteTimeLabel,שעת התחלה:
BackupSetupPageDurationLabel,כיסוי:
BackupSetupPageDurationPostLabel, ימים
BackupSetupPageStartDateLabel,החל מ:
BackupSetupPageStartDatePostLabel, ימים קודם
BackupSetupPageStatusLabel,סטטוס
BackupSetupPageStatusIdle,חוסר פעילות
BackupSetupPageStatusRunning,מאחסן בארכיון (%1%%% בוצע)
BackupSetupPageLastBackupLabel,אחסון אחרון בארכיון:
BackupSetupPageNextBackupLabel,האחסון הבא בארכיון:
BackupSetupPageInvalidBackupLabel,<ללא>
BackupSetupPageDeleteOldestLabel,מחק את האחסונים הישנים ביותר בארכיון כשהדיסק מלא
BackupDisabledMessage,האחסון בארכיון בשרת '%1%' מושבת.\n\nניתן להפעיל את האחסון בארכיון ב-Avigilon Control Center Admin Tool או באמצעות ממשק האינטרנט ACC ES.
BackupAllServersDisabledMessage,האחסון בארכיון מושבת בכל השרתים.\n\nניתן להפעיל את האחסון בארכיון ב-Avigilon Control Center Admin Tool או באמצעות ממשק האינטרנט ACC ES.
