#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Sluiten
RuleWizardSchedulePaneCaption,Selecteren wanneer deze regel actief is
RuleWizardTriggerPaneTitle,Regelgebeurtenis(sen) selecteren
RuleWizardTriggerPaneCaption,De gebeurtenis(sen) selecteren die de regelactie activeren
RuleWizardActionPaneTitle,Regelactie(s) selecteren
RuleWizardActionPaneCaption,De actie(s) voor de regel selecteren
RuleWizardConditionsPaneTitle,Regelvoorwaarde(s) selecteren
RuleWizardConditionsPaneCaption,Selecteer de voorwaarde(s) waaraan moet worden voldaan voor de uitvoering van deze regel
RuleWizardActiveSchedulePaneTitle,Regelduur selecteren
RuleWizardActiveSchedulePaneCaption,Selecteer wanneer deze regel actief moet zijn.
RuleWizardActiveScheduleAllDayText,De hele dag
RuleWizardActiveSchedulePartOfDayText,Op de volgende tijden:
RuleWizardActiveScheduleStartText,Starttijd:
RuleWizardActiveScheduleEndText,Eindtijd:
RuleWizardSettingsPaneTitle,Regeleigenschappen selecteren
RuleWizardSettingsNameLabel,Regelnaam:
RuleWizardSettingsDescriptionLabel,Regelbeschrijving:
RuleWizardSettingsEnabledLabel,Regel is ingeschakeld
RuleWizardSettingsSchedulesLabel,Schema:

# Action strings
RuleActionUserNotificationCategory,Acties voor gebruikerswaarschuwingen
RuleActionMonitoringCategory,Acties controleren
RuleActionRecordingCategory,Acties opnemen
RuleActionApplicationCategory,Toepassingsacties
RuleActionDeviceCategory,Apparaatacties
RuleActionPTZCategory,PTZ-acties
RuleActionAlarmCategory,Alarmacties

RuleActionMsgUsersTitle,Schermbericht weergeven
RuleActionMsgUsersClause,schermbericht weergeven gedurende
RuleActionMsgUsersClause_v2,%1% weergeven op scherm gedurende
RuleActionOpenLiveStreamTitle,Live-streaming starten
RuleActionOpenLiveStreamClause,een live-stream starten op %1% voor
RuleActionRecordDeviceTitle,Op camera's opnemen
RuleActionRecordDeviceClause,opnemen op %1%
RuleActionRestartServiceTitle,Avigilon Control Center opnieuw opstarten
RuleActionRestartServiceClause,Avigilon Control Center opnieuw opstarten
RuleActionRebootDeviceTitle,Camera opnieuw opstarten
RuleActionRebootDeviceClause,%1% opnieuw opstarten
RuleActionSendEmailTitle,E-mail verzenden
RuleActionSendEmailClause,een e-mail verzenden naar %1%
RuleActionSendEmailClause_v2,een e-mail verzenden %2% met %3% naar %1%
RuleActionPulseDigitalOutputTitle,Digitaal uitvoerapparaat pulsen
RuleActionPulseDigitalOutputClause,%1% %2% pulsen
RuleActionSetDigitalOutputTitle,Digitaal uitvoerapparaat activeren
RuleActionSetDigitalOutputClause,%1% activeren
RuleActionPtzClearAuxTitle,Aux wissen
RuleActionPtzClearAuxClause,PTZ-aux %2% wissen op %1%
RuleActionPtzGoToPresetTitle,Ga naar voorinstelling
RuleActionPtzGoToPresetClause,ga naar PTZ-voorinstelling %2% op %1%
RuleActionPtzGoToHomeTitle,Ga naar Startvoorinstelling
RuleActionPtzGoToHomeClause,ga naar PTZ-startvoorinstelling op %1%
RuleActionPtzSetAuxTitle,Aux instellen
RuleActionPtzSetAuxClause,PTZ-aux %2% instellen op %1%
RuleActionPtzRunPatternTitle,Een patroon uitvoeren
RuleActionPtzRunPatternClause,PTZ-patroon %2% uitvoeren op %1%
RuleActionAlarmTriggerTitle,Een alarm activeren
RuleActionAlarmTriggerClause,%1% activeren
RuleActionAlarmAutoAckTitle,Een alarm automatisch bevestigen
RuleActionAlarmAutoAckClause,%1% automatisch bevestigen
RuleActionAlarmAckTitle,Een alarm bevestigen
RuleActionAlarmAckClause,%1% bevestigen
RuleActionPlaySoundTitle,Een geluid afspelen
RuleActionPlaySoundClause,geluid %1% afspelen gedurende
RuleActionTriggerDigitalOutputTitle,Digitaal uitvoerapparaat activeren
RuleActionTriggerDigitalOutputClause,%1% activeren
RuleActionCreateBookmarkTitle,Bladwijzer creëren
RuleActionCreateBookmarkClause,bladwijzer creëren voor %1% met bescherming %2% op %3%
RuleActionOpenViewTitle,Opgeslagen weergave openen
RuleActionOpenViewClause,%1% openen gedurende
RuleActionMonitorOpenLiveStreamTitle,Live-streaming starten op een virtuele-matrixmonitor
RuleActionMonitorOpenLiveStreamClause,een live-stream weergeven gedurende %2% op beeldpaneel %3% op %1% gedurende
RuleActionMonitorOpenMapTitle,Een plattegrond openen op een virtuele-matrixmonitor
RuleActionMonitorOpenMapClause,%2% openen bij index %3% op %1% gedurende
RuleActionMonitorOpenWebTitle,Een webpagina openen op een virtuele-matrixmonitor
RuleActionMonitorOpenWebClause,%2% openen bij index %3% op %1% gedurende
RuleActionSendExternalNotificationTitle,Melding sturen naar Central Monitoring Station
RuleActionSendExternalNotificationClause,een melding sturen naar Central Monitoring Station

EmailSetupTestEmail,Test-e-mail verzenden
EmailSetupTestEmailDialogCaption,Test-e-mail verzonden
EmailSetupTestEmailDialogText,Er is zojuist een test-e-mail verzonden. Controleer het postvak IN van elke geadresseerde om een geslaagde bezorging te verifiëren.
EmailSetupTestEmailFailedDialog,Test-e-mail mislukt:\n\n%1%
EmailSetupTestEmailSubject,Avigilon Control Center: Test-e-mail
EmailSetupTestEmailText,Dit is een test-e-mail die afkomstig is van Avigilon-server '%1%'.

EmailSetupDefaultSubjectLine,Avigilon Control Center-systeemgebeurtenis

# Trigger strings

RuleTriggerDeviceCategory,Apparaatgebeurtenissen
RuleTriggerUserCategory,Gebruikergebeurtenissen
RuleTriggerAlarmCategory,Alarmgebeurtenissen
RuleTriggerServerCategory,Servergebeurtenissen
RuleTriggerLprCategory,Kentekenplaatherkenningsgebeurtenissen
RuleTriggerPointOfSaleCategory,POS-transactiegebeurtenissen

RuleTriggerDbRecoveredTitle,Databasefout
RuleTriggerDbRecoveredClause,een databasefout treedt op
RuleTriggerDeviceLostTitle,Verbindingsfout
RuleTriggerDeviceLostClause,een verbinding is verbroken voor %1%
RuleTriggerEmailErrorTitle,E-mailverzendfout
RuleTriggerEmailErrorClause,een e-mailverzendfout treedt op
RuleTriggerHardwareErrorTitle,Serverhardwaregebeurtenis
RuleTriggerHardwareErrorClause,een serverhardwaregebeurtenis treedt op
RuleTriggerExternalPluginTitle,Installatiefout servertoepassing
RuleTriggerExternalPluginClause,de servertoepassing heeft een installatiefout
RuleTriggerFwUpgradeFailedTitle,Firmware-upgrade is mislukt
RuleTriggerFwUpgradeFailedClause,een firmware-upgrade is mislukt op %1%
RuleTriggerFwUpgradeStartTitle,Firmware-upgrade is gestart
RuleTriggerFwUpgradeStartClause,een firmware-upgrade is gestart op %1%
RuleTriggerFwUpgradeSuccessTitle,Firmware-upgrade is voltooid
RuleTriggerFwUpgradeSuccessClause,een firmware-upgrade is voltooid op %1%
RuleTriggerDigitalInputActivatedTitle,Digitaal invoerapparaat geactiveerd
RuleTriggerDigitalInputActivatedClause,%1% is geactiveerd
RuleTriggerDigitalInputDeactivatedTitle,Digitaal invoerapparaat gedeactiveerd
RuleTriggerDigitalInputDeactivatedClause,%1% is gedeactiveerd
RuleTriggerLicenseExpiredTitle,Licentie is verlopen
RuleTriggerLicenseExpiredClause,de licentie is verlopen
RuleTriggerLicenseExpirySoonTitle,Licentie verloopt binnenkort
RuleTriggerLicenseExpirySoonClause,de licentie verloopt binnenkort
RuleTriggerLicensePlateInSightTitle,Kentekenplaatdetectie gestart
RuleTriggerLicensePlateInSightClause,%1% is gedetecteerd op %2% met betrouwbaarheid van ten minste %3%%%
RuleTriggerLicensePlateMatchTitle,Overeenkomst kentekenplaatcontrolelijst
RuleTriggerLicensePlateMatchClause,een overeenkomst met kentekenplaatcontrolelijst treedt op
RuleTriggerLicensePlateMatchClause_v2,een overeenkomst met kentekenplaatcontrolelijst treedt op op %1%
RuleTriggerLicensePlateOutOfSightTitle,Kentekenplaatdetectie beëindigd
RuleTriggerLicensePlateOutOfSightClause,%1% detectie eindigt op %2% met betrouwbaarheid van ten minste %3%%%
RuleTriggerLowResourcesTitle,Servertoepassing heeft weinig bronnen ter beschikking
RuleTriggerLowResourcesClause,de servertoepassing heeft weinig bronnen ter beschikking
RuleTriggerAnalyticsStartedTitle,Video-analysegebeurtenis gestart
RuleTriggerAnalyticsStartedClause,%1% gestart om %2%
RuleTriggerAnalyticsEndedTitle,Video-analysegebeurtenis beëindigd
RuleTriggerAnalyticsEndedClause,%1% beëindigd %2%
RuleTriggerTamperingTitle,Sabotage gedetecteerd
RuleTriggerTamperingClause,sabotage is gedetecteerd op %1%
RuleTriggerMotionEndedTitle,Bewegingsdetectie is beëindigd
RuleTriggerMotionEndedClause,beweging wordt niet meer gedetecteerd op %1%
RuleTriggerMotionStartedTitle,Bewegingsdetectie gestart
RuleTriggerMotionStartedClause,beweging gedetecteerd op %1%
RuleTriggerNetworkRemovedTitle,Netwerkverbinding verbroken
RuleTriggerNetworkRemovedClause,een netwerkverbinding is verbroken
RuleTriggerObsoleteFirmwareTitle,Verouderde firmware gedetecteerd
RuleTriggerObsoleteFirmwareClause,verouderde firmware gedetecteerd op %1%
RuleTriggerRecordingInterruptedTitle,Opname onderbroken
RuleTriggerRecordingInterruptedClause,opname is onderbroken voor %1%
RuleTriggerRecordingResumedTitle,Opname hervat
RuleTriggerRecordingResumedClause,opname is hervat voor %1%
RuleTriggerServerStartTitle,Servertoepassing wordt opgestart
RuleTriggerServerStartClause,de servertoepassing wordt opgestart
RuleTriggerServerShutdownBadTitle,Servertoepassing is onverwacht gestopt
RuleTriggerServerShutdownBadClause,de servertoepassing is onverwacht gestopt
RuleTriggerServerShutdownNormalTitle,Servertoepassing wordt afgesloten
RuleTriggerServerShutdownNormalClause,de servertoepassing wordt afgesloten
RuleTriggerUserLoginTitle,Gebruikersaanmelding
RuleTriggerUserLoginClause,een aanmelding treedt op bij %1%
RuleTriggerUserLogoutTitle,Gebruikersafmelding
RuleTriggerUserLogoutClause,een afmelding treedt op bij %1%
RuleTriggerAlarmTriggeredTitle,Alarm geactiveerd
RuleTriggerAlarmTriggeredClause,%1% is geactiveerd
RuleTriggerAlarmAcknowledgedTitle,Alarm bevestigd
RuleTriggerAlarmAcknowledgedClause,%1% is bevestigd
RuleTriggerAlarmAcknowledgedDenyTitle,Actie bevestigd alarm geweigerd
RuleTriggerAlarmAcknowledgedDenyClause,%1% is bevestigd en de actie is geweigerd
RuleTriggerAlarmAcknowledgedGrantTitle,Alarm bevestigd
RuleTriggerAlarmAcknowledgedGrantClause,%1% is bevestigd
RuleTriggerAlarmAutoAcknowledgedTitle,Alarm automatisch bevestigd
RuleTriggerAlarmAutoAcknowledgedClause,%1% is automatisch bevestigd
RuleTriggerBackupEndedTitle,Archiveren voltooid
RuleTriggerBackupEndedClause,archiveren is voltooid
RuleTriggerBackupStartedTitle,Archiveren gestart
RuleTriggerBackupStartedClause,archiveren is gestart
RuleTriggerBackupFailedTitle,Archiveren mislukt
RuleTriggerBackupFailedClause,archiveren is mislukt
RuleTriggerTTxWatchItemMatchTitle,Uitzondering POS-transactie
RuleTriggerTTxWatchItemMatchClause,%2% treedt op op %1%
RuleTriggerTTxTransactionStartedTitle,POS-transactie gestart
RuleTriggerTTxTransactionStartedClause,een POS-transactie is gestart op %1%
RuleTriggerTTxTransactionEndedTitle,POS-transactie beëindigd
RuleTriggerTTxTransactionEndedClause,een POS-transactie is beëindigd op %1%
RuleTriggerServerConnectionLostTitle,Serververbinding verbroken
RuleTriggerServerConnectionLostClause,de verbinding met een server is verbroken

RuleTriggerAlarmAssignedTitle,Alarm toegewezen
RuleTriggerAlarmAssignedClause,%1% is toegewezen
RuleTriggerAlarmPurgedTitle,Alarm verwijderd
RuleTriggerAlarmPurgedClause,%1% is verwijderd
RuleTriggerAlarmUnassignedTitle,Toewijzing alarm opgeheven
RuleTriggerAlarmUnassignedClause,toewijzing %1% is opgeheven
RuleTriggerDeviceConnectedTitle,Verbinding gemaakt
RuleTriggerDeviceConnectedClause,een verbinding is gemaakt voor %1%
RuleTriggerDeviceDisconnectedTitle,Verbinding verwijderd
RuleTriggerDeviceDisconnectedClause,een verbinding is verwijderd voor %1%
RuleTriggerDeviceRecoveredTitle,Verbinding hersteld
RuleTriggerDeviceRecoveredClause,een verbinding is hersteld voor %1%
RuleTriggerFailoverStartedTitle,Verbinding gemaakt naar stand-byserver
RuleTriggerFailoverStartedClause,een verbinding is gemaakt naar een stand-byserver voor %1%
RuleTriggerFailoverStoppedTitle,Verbinding verwijderd van stand-byserver
RuleTriggerFailoverStoppedClause,een verbinding is verwijderd van een stand-byserver voor %1%
RuleTriggerNetworkAddedTitle,Netwerkverbinding gevonden
RuleTriggerNetworkAddedClause,een netwerkverbinding is gevonden
RuleTriggerNetworkErrorRecoveredTitle,Netwerkfout opgelost
RuleTriggerNetworkErrorRecoveredClause,een netwerkfout is opgelost
RuleTriggerPacketsLostTitle,Netwerkpakketverlies onaanvaardbaar
RuleTriggerPacketsLostClause,netwerkpakketverlies is onaanvaardbaar voor %1% 
RuleTriggerPacketsRecoveredTitle,Netwerkpakketverlies aanvaardbaar
RuleTriggerPacketsRecoveredClause,netwerkpakketverlies is aanvaardbaar voor %1%
RuleTriggerRecordingEndedTitle,Opname beëindigd
RuleTriggerRecordingEndedClause,een opname is beëindigd voor %1%
RuleTriggerRecordingStartedTitle,Opname gestart
RuleTriggerRecordingStartedClause,een opname is gestart voor %1%
RuleTriggerStorageInitErrorTitle,Gegevensinitialisatiefout
RuleTriggerStorageInitErrorClause,gegevensinitialisatie mislukt
RuleTriggerStorageLowDiskSpaceTitle,Gegevensvolumegrootte verminderd
RuleTriggerStorageLowDiskSpaceClause,een gegevensvolumegrootte is verminderd vanwege gebrek aan schijfruimte
RuleTriggerStorageUpgradeEndedTitle,Gegevensupgrade voltooid
RuleTriggerStorageUpgradeEndedClause,een gegevensupgrade is voltooid
RuleTriggerStorageUpgradeFailedTitle,Gegevensupgrade mislukt
RuleTriggerStorageUpgradeFailedClause,een gegevensupgrade is mislukt
RuleTriggerStorageUpgradeStartedTitle,Gegevensupgrade gestart
RuleTriggerStorageUpgradeStartedClause,een gegevensupgrade is gestart
RuleTriggerStorageRecoveryEndedTitle,Gegevensherstel voltooid
RuleTriggerStorageRecoveryEndedClause,een gegevensherstel is voltooid
RuleTriggerStorageRecoveryFailedTitle,Gegevensherstel mislukt
RuleTriggerStorageRecoveryFailedClause,een gegevensherstel is mislukt
RuleTriggerStorageRecoveryStartedTitle,Gegevensherstel gestart
RuleTriggerStorageRecoveryStartedClause,een gegevensherstel is gestart
RuleTriggerStorageWriteErrorTitle,Gegevensschrijffout
RuleTriggerStorageWriteErrorClause,een gegevensschrijffout treedt op voor %1%
RuleTriggerStorageVolumeFailedTitle,Gegevensvolume mislukt
RuleTriggerStorageVolumeFailedClause,een gegevensvolume is mislukt
RuleTriggerStorageVolumeRestoredTitle,Gegevensvolume hersteld
RuleTriggerStorageVolumeRestoredClause,een gegevensvolume is hersteld naar een normale status
RuleTriggerStorageBookmarkSaveFailedTitle,Bladwijzer opslaan mislukt
RuleTriggerStorageBookmarkSaveFailedClause,kon een bladwijzer gecreëerd door %1% niet opslaan

RuleTriggerUserPtzActivatedTitle,PTZ verplaatst
RuleTriggerUserPtzActivatedClause,de PTZ die is gekoppeld aan %1% is verplaatst door %2%
RuleTriggerUserPtzIdleTitle,PTZ inactief
RuleTriggerUserPtzIdleClause,de PTZ die is gekoppeld aan %1% is inactief, laatst gebruikt door %2%

RuleTriggerUserDeviceConnectedTitle,Apparaat verbonden
RuleTriggerUserDeviceConnectedClause,%1% is verbonden door %2%
RuleTriggerUserDeviceDisconnectedTitle,Verbinding apparaat verbroken
RuleTriggerUserDeviceDisconnectedClause,de verbinding van %1% is verbroken door %2%

RuleTriggerUserServerSettingTitle,Serverinstelling gewijzigd
RuleTriggerUserServerSettingClause,een serverinstelling is gewijzigd door %1%
RuleTriggerUserSiteSettingTitle,Site-instelling gewijzigd
RuleTriggerUserSiteSettingClause,een site-instelling is gewijzigd door %1%
RuleTriggerUserDeviceSettingTitle,Apparaatinstelling gewijzigd
RuleTriggerUserDeviceSettingClause,een instelling op %1% is gewijzigd door %2%

RuleTriggerUserBookmarkUpdateTitle,Bladwijzer bijgewerkt
RuleTriggerUserBookmarkUpdateClause,een bladwijzer is bijgewerkt door %1%
RuleTriggerUserBookmarkDeleteTitle,Bladwijzer verwijderd
RuleTriggerUserBookmarkDeleteClause,een bladwijzer is verwijderd door %1%
RuleTriggerUserBookmarkAddTitle,Bladwijzer toegevoegd
RuleTriggerUserBookmarkAddClause,een bladwijzer is toegevoegd door %1%

RuleTriggerUserExportTitle,Export uitgevoerd
RuleTriggerUserExportClause,een export id uitgevoerd op %1% door %2%

RuleTriggerUserDigitalOutputTriggeredTitle,Digitaal uitvoerapparaat geactiveerd
RuleTriggerUserDigitalOutputTriggeredClause,%1% is geactiveerd door %2%

RuleTriggerUserSpeakerActivatedTitle,Luidspreker geactiveerd
RuleTriggerUserSpeakerActivatedClause,%1% is geactiveerd door %2%
RuleTriggerUserSpeakerDeactivatedTitle,Luidspreker gedeactiveerd
RuleTriggerUserSpeakerDeactivatedClause,%1% is gedeactiveerd door %2%

RuleTriggerUserVirtualMatrixMonitorOpenedTitle,Virtuele-matrixmonitor geopend
RuleTriggerUserVirtualMatrixMonitorOpenedClause,Virtual Matrix Application opent %1% door %2%

RuleTriggerUserSavedViewCreateTitle,Weergave toegevoegd
RuleTriggerUserSavedViewCreateClause,een weergave is toegevoegd door %1%
RuleTriggerUserSavedViewModifyTitle,Weergave bijgewerkt
RuleTriggerUserSavedViewModifyClause,%1% is bijgewerkt door %2%
RuleTriggerUserSavedViewDeleteTitle,Weergave verwijderd
RuleTriggerUserSavedViewDeleteClause,%1% is bijgewerkt door %2%

RuleTriggerUserMapCreateTitle,Plattegrond toegevoegd
RuleTriggerUserMapCreateClause,een plattegrond is toegevoegd door %1%
RuleTriggerUserMapModifyTitle,Plattegrond bijgewerkt
RuleTriggerUserMapModifyClause,%1% is bijgewerkt door %2%
RuleTriggerUserMapDeleteTitle,Plattegrond verwijderd
RuleTriggerUserMapDeleteClause,%1% is bijgewerkt door %2%

RuleTriggerUserWebLinkCreateTitle,Webpagina toegevoegd
RuleTriggerUserWebLinkCreateClause,een webpagina is toegevoegd door %1%
RuleTriggerUserWebLinkModifyTitle,Webpagina bijgewerkt
RuleTriggerUserWebLinkModifyClause,%1% is bijgewerkt door %2%
RuleTriggerUserWebLinkDeleteTitle,Webpagina verwijderd
RuleTriggerUserWebLinkDeleteClause,%1% is bijgewerkt door %2%

RuleTriggerUserSiteViewModifyTitle,Siteweergave bijgewerkt
RuleTriggerUserSiteViewModifyClause,locatieweergave wordt bijgewerkt door '%1%'

RuleTriggerUserMacroTitle,Aangepaste toetsenbordopdracht geactiveerd
RuleTriggerUserMacroClause,de aangepaste toetsenbordopdracht met id %1% is geactiveerd door %2%

# Condition strings
RuleConditionDeviceCategory,Apparaatgebeurtenissen

RuleConditionDigitalInputIsActiveTitle,Digitale invoer is actief
RuleConditionDigitalInputIsActiveClause,%1% is actief
RuleConditionDigitalInputAreActiveClause,%1% zijn actief
RuleConditionDigitalInputIsDeactivatedTitle,Digitale invoer is niet actief
RuleConditionDigitalInputIsDeactivatedClause,%1% is niet actief
RuleConditionDigitalInputAreDeactivatedClause,%1% zijn niet actief

RuleParamSystemTreeListDeviceTitle,Camera selecteren
RuleParamSystemTreeListDeviceTitlePlural,Camera's selecteren
RuleParamSystemTreeListDeviceNoneLabel,Geen camera
RuleParamSystemTreeListDeviceNoneLabelPlural,Geen camera's
RuleParamSystemTreeListDeviceAnyLabel,Een of meer camera's
RuleParamSystemTreeListDeviceAnyActionLabel,De camera die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListDeviceSelectLabel,Een of meer van de volgende camera's:
RuleParamSystemTreeListDeviceSelectActionLabel,Alle volgende camera's:
RuleParamSystemTreeListDeviceAll,elke willekeurige camera
RuleParamSystemTreeListDeviceAllAction,de camera die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListDevice,camera '%1%'
RuleParamSystemTreeListDevicePlural,camera's '%1%'
RuleParamSystemTreeListDeviceName,camera

RuleParamSystemTreeListMapTitle,Plattegrond selecteren
RuleParamSystemTreeListMapTitlePlural,Plattegronden selecteren
RuleParamSystemTreeListMapNoneLabel,Geen plattegrond
RuleParamSystemTreeListMapNoneLabelPlural,Geen plattegronden
RuleParamSystemTreeListMapAnyLabel,Een of meer plattegronden
RuleParamSystemTreeListMapAnyActionLabel,De plattegrond die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListMapSelectLabel,Een of meer van de volgende plattegronden:
RuleParamSystemTreeListMapSelectActionLabel,Alle volgende plattegronden:
RuleParamSystemTreeListMapAll,elke willekeurige plattegrond
RuleParamSystemTreeListMapAllAction,de plattegrond die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListMap,plattegrond '%1%'
RuleParamSystemTreeListMapPlural,plattegronden '%1%'
RuleParamSystemTreeListMapName,plattegrond

RuleParamSystemTreeListWebLinkTitle,Webpagina selecteren
RuleParamSystemTreeListWebLinkTitlePlural,Webpagina's selecteren
RuleParamSystemTreeListWebLinkNoneLabel,Geen webpagina
RuleParamSystemTreeListWebLinkNoneLabelPlural,Geen webpagina
RuleParamSystemTreeListWebLinkAnyLabel,Een of meer webpagina's
RuleParamSystemTreeListWebLinkAnyActionLabel,De webpagina die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListWebLinkSelectLabel,Een of meer van de volgende webpagina's:
RuleParamSystemTreeListWebLinkSelectActionLabel,Alle volgende webpagina's:
RuleParamSystemTreeListWebLinkAll,elke willekeurige webpagina
RuleParamSystemTreeListWebLinkAllAction,de webpagina die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListWebLink,webpagina '%1%'
RuleParamSystemTreeListWebLinkPlural,webpagina's '%1%'
RuleParamSystemTreeListWebLinkName,webpagina

RuleParamSystemTreeListSavedViewTitle,Opgeslagen weergave selecteren
RuleParamSystemTreeListSavedViewTitlePlural,Opgeslagen weergaven selecteren
RuleParamSystemTreeListSavedViewNoneLabel,Geen opgeslagen weergave
RuleParamSystemTreeListSavedViewNoneLabelPlural,Geen opgeslagen weergaven
RuleParamSystemTreeListSavedViewAnyLabel,Een of meer opgeslagen weergaven
RuleParamSystemTreeListSavedViewAnyActionLabel,De opgeslagen weergave die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListSavedViewSelectLabel,Een of meer van de volgende opgeslagen weergaven:
RuleParamSystemTreeListSavedViewSelectActionLabel,Alle volgende opgeslagen weergaven:
RuleParamSystemTreeListSavedViewAll,elke willekeurige opgeslagen weergave
RuleParamSystemTreeListSavedViewAllAction,de opgeslagen weergave die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListSavedView,opgeslagen weergave '%1%'
RuleParamSystemTreeListSavedViewPlural,opgeslagen weergaven '%1%'
RuleParamSystemTreeListSavedViewName,opgeslagen weergave

RuleParamSystemTreeListMonitorTitle,Monitor selecteren
RuleParamSystemTreeListMonitorTitlePlural,Monitors selecteren
RuleParamSystemTreeListMonitorNoneLabel,Geen monitor
RuleParamSystemTreeListMonitorNoneLabelPlural,Geen monitors
RuleParamSystemTreeListMonitorAnyLabel,Een of meer monitors
RuleParamSystemTreeListMonitorAnyActionLabel,De monitor die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListMonitorSelectLabel,Een of meer van de volgende monitors:
RuleParamSystemTreeListMonitorSelectActionLabel,Alle volgende monitors:
RuleParamSystemTreeListMonitorAll,elke willekeurige monitor
RuleParamSystemTreeListMonitorAllAction,de monitor die is gekoppeld aan de gebeurtenis
RuleParamSystemTreeListMonitor,monitor '%1%'
RuleParamSystemTreeListMonitorPlural,monitors '%1%'
RuleParamSystemTreeListMonitorName,monitor

RuleParamDeviceListTitle,Camera's selecteren
RuleParamDeviceListAnyLabel,elke willekeurige camera
RuleParamDeviceListAnyActionLabel,De camera die is gekoppeld aan de gebeurtenis
RuleParamDeviceListNoneLabel,Geen camera
RuleParamDeviceListSelectLabel,Een of meer van de volgende camera's:
RuleParamDeviceListSelectActionLabel,Alle volgende camera's:
RuleParamDigitalOutputListTitle,Digitale uitvoerapparaten selecteren
RuleParamSpeakerListTitle,Luidsprekers selecteren
RuleParamDeviceIdsAll,elke willekeurige camera
RuleParamDeviceIdsAllAction,de camera die is gekoppeld aan de gebeurtenis
RuleParamDeviceIdsSingular,camera '%1%'
RuleParamDeviceIdsPlural,camera's '%1%'
RuleParamImageAttachNone,geen beelden bijgevoegd
RuleParamImageAttachEvent,beeld bevestigd van aan de gebeurtenis gekoppelde camera
RuleParamImageAttachSingular,beeld bevestigd van camera '%1%'
RuleParamImageAttachPlural,beelden bevestigd van camera's '%1%'
RuleParamDigitalOutputsNone,een digitaal uitvoerapparaat
RuleParamDigitalOutputsSingular,digitaal uitvoerapparaat '%1%'
RuleParamDigitalOutputsPlural,digitale uitvoerapparaten '%1%'
RuleParamSpeakerOutputsNone,een luidsprekeruitvoer
RuleParamSpeakerOutputsSingular,luidsprekeruitvoerapparaat '%1%
RuleParamSpeakerOutputsPlural,luidsprekeruitvoerapparaat '%1%'
RuleParamDigitalInputListTitle,Digitale invoerapparaten selecteren
RuleParamDigitalInputListAnyLabel,Elk willekeurig digitaal invoerapparaat
RuleParamDigitalInputListSelectLabel,Een of meer van de volgende digitale invoerapparaten:
RuleParamDigitalInputListSelectConditionLabel,Alle volgende digitale invoeren:
RuleParamDigitalInputsNone,elk willekeurig digitaal invoerapparaat
RuleParamDigitalInputsSingular,digitaal invoerapparaat '%1%'
RuleParamDigitalInputsPlural,digitale invoerapparaten '%1%'
RuleParamTextSourcesListAnyLabel,Elke willekeurige transactiebron
RuleParamTextSourcesListSelectLabel,Een of meer van de volgende transactiebronnen:
RuleParamTextSourcesListTitle,Transactiebronnen selecteren
RuleParamTextSourcesAll,elke willekeurige transactiebron
RuleParamTextSourcesAllAction,de transactiebron waarop de gebeurtenis optrad
RuleParamTextSourcesSingular,transactiebron '%1%'
RuleParamTextSourcesPlural,transactiebronnen '%1%'
RuleParamTransactWatchListAnyLabel,Elke willekeurige uitzondering op POS-transactie
RuleParamTransactWatchListSelectLabel,Een of meer van de volgende uitzonderingen op POS-transacties:
RuleParamTransactWatchListTitle,Uitzonderingen op POS-transacties selecteren
RuleParamTransactWatchListAll,elke willekeurige uitzondering op POS-transactie
RuleParamTransactWatchListSingular,Uitzondering op POS-transactie '%1%'
RuleParamTransactWatchListPlural,Uitzonderingen op POS-transacties '%1%'
RuleParamLicensePlatesAll,elke willekeurige kentekenplaat
RuleParamLicensePlatesSingular,kentekenplaat %1%
RuleParamLicensePlatesPlural,kentekenplaten %1%
RuleParamLicensePlatesAnyLabel,Elke willekeurige kentekenplaat
RuleParamLicensePlatesSelectLabel,Een of meer van de volgende kentekenplaten:
RuleParamLicensePlatesAddLabel,Toevoegen
RuleParamLicensePlatesRemoveLabel,Verwijderen
RuleParamLicensePlatesTitle,Kentekenplaten selecteren
RuleParamDigitalOutputPulseConfigTitle,Pulsparameters selecteren
RuleParamDigitalOutputPulseConfigDutyCycleLabel,Inschakelingspercentage:
RuleParamDigitalOutputPulseConfigDutyCyclePostLabel,%%
RuleParamDigitalOutputPulseConfigPeriodLabel,Periode:
RuleParamDigitalOutputPulseConfigPeriodPostLabel,ms
