#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Kapat
AlarmMgmtAckDigitalOutputPluralLabel,Kabul edildiğinde, dijital çıkış %1% etkinleştir.
AlarmMgmtAckDigitalOutputGrantDenyLabel,Kabul edildiğinde, dijital çıkış %1% etkinleştir.  Kullanıcı onayı gereklidir.
AlarmMgmtAckDigitalOutputGrantDenyPluralLabel,Kabul edildiğinde, dijital çıkış %1% etkinleştir.  Kullanıcı onayı gereklidir.

# Alarm wizard strings
AlarmWizardTitle,Alarm Ekle

# Alarm general pane strings
AlarmWizardGeneralTitle,Alarm Özelliklerini Seçin
AlarmWizardGeneralNameLabel,Adı:
AlarmWizardGeneralNameEmptyError,Bir alarm adı olması gerekir.
AlarmWizardGeneralPriorityLabel,Öncelik:
AlarmWizardGeneralEnabledLabel,Alarmı etkinleştir
AlarmWizardGeneralScheduleLabel,Program:

# Alarm trigger pane strings
AlarmWizardTriggerTitle,Alarm Tetikleme Kaynağını Seçin
AlarmWizardTriggerTypeLabel,Alarm Tetikleme Kaynağı:
AlarmWizardTriggerMotion,Hareket Algılama
AlarmWizardTriggerAnalytics,Video analizi Olayı
AlarmWizardTriggerDigitalInput,Dijital Giriş Aktivasyonu
AlarmWizardTriggerLprMatch,Araç Plakası Takip Listesi Eşleşmesi
AlarmWizardTriggerPosException,POS İşlem İstisnası
AlarmWizardTriggerDeviceError,Kamera Hatası
AlarmWizardTriggerSystemError,Sistem Hatası
AlarmWizardTriggerNull,Harici Yazılım Etkinliği
AlarmWizardTriggerAutoAckMotion,Hareket durduğunda alarm otomatik olarak alınır
AlarmWizardTriggerAutoAckAnalytics,Video analizi olayı durduğunda alarmı otomatik olarak teyid et
AlarmWizardTriggerAutoAckDigitalInput,Dijital giriş devre dışı bırakıldığında alarm otomatik olarak alınır
AlarmWizardTriggerAutoAckTrigger,Alarm etkinleştirildiğinde derhal otomatik olarak alınır

# Alarm linked cameras pane strings
AlarmWizardCamerasTitle,Bağlı Kameraları Seç
AlarmWizardCamerasLabel,Bu alarma bağlanacak kameraları seçin:
AlarmWizardCamerasViewLabel,Alarm tetiklendiğinde bağlantılı kameraları görüntüle
AlarmWizardCamerasPreBufferPreLabel,Alarm Öncesi Kayıt Süresi:
AlarmWizardCamerasPostBufferPreLabel,Alarm Sonrası Kayıt Süresi:
AlarmWizardCamerasMaxRecordPreLabel,Kayıt Süresi:

# Alarm users pane strings
AlarmWizardUsersTitle,Alarm Alıcılarını Seç
AlarmWizardUsersLabel,Bu alarm tetiklendiğinde bildirimde bulunulacak kullanıcıları seç:
AlarmWizardUsersAudio,Alarm tetiklendiğinde sesi oynatın:

# Alarm recipients pane strings
AlarmRecipientsSetupPageUserName,Kullanıcı/Grup
AlarmRecipientsSetupPageFirstName,Adı
AlarmRecipientsSetupPageLastName,Soyadı
AlarmRecipientsSetupPageTimeDelay,Bekleme Süresi
AlarmRecipientsAddRecipientButtonText,Alıcı Ekle...
AlarmRecipientsRemoveRecipientsButtonText,Alıcıları Kaldır
AlarmRecipientsSetupPageMinutesLabel,dk
AlarmRecipientsSetupPageHoursLabel,saat

# Alarm acknowledge pane strings
AlarmWizardAckTitle,Alarm Onay Eylemini Seç
AlarmWizardAckRequireTextOnAck,Alarmı kabul ederken bir yorum gerekiyor
AlarmWizardAckDigitalOutputLabel,Alarm kabulünde seçili dijital çıkışları etkinleştir
AlarmWizardAckGrantDenyLabel,Dijital çıkışları etkinleştirmeden önce kullanıcı onayı gerekiyor

AlarmDeleteAutoAckNote,Bu alarm silinmekte olduğu için kabul edildi
AlarmShutdownAutoAckNote,Bu alarm sistem kapatılmakta olduğu için kabul edildi

#################################################
# User Selector Setup Strings
#################################################

UserSelectorUsersTitle,Kullanıcıları Seç
UserSelectorUserName,Kullanıcı/Grup
UserSelectorFirstName,Adı
UserSelectorLastName,Soyadı
UserSelectorAddButtonText,Ekle
UserSelectorCancelButtonText,İptal et
UserSelectorSelected,Seç

#################################################
# Scheduled Backup Setup Strings
#################################################

BackupSetupPageText,Planlanmış Arşivleme
BackupSetupPageEnabledLabel,Planlanmış Arşivleme Ayarlarını Etkinleştir
BackupSetupPageDevicesLabel,Arşivlenecek Kamera(lar):
BackupSetupPageOptionsLabel,Arşivleme Seçenekleri:
BackupSetupPagePeriodLabel,Gerçekleştirme Sıklığı:
BackupSetupPagePeriodPostLabel, gün
BackupSetupPageExecuteTimeLabel,Başlangıç Saati:
BackupSetupPageDurationLabel,Kapsam:
BackupSetupPageDurationPostLabel, gün
BackupSetupPageStartDateLabel,Başlangıç Tarihi:
BackupSetupPageStartDatePostLabel, gün öncesi
BackupSetupPageStatusLabel,Durum
BackupSetupPageStatusIdle,Boşta
BackupSetupPageStatusRunning,Arşivleniyor (%%%1% tamamlandı)
BackupSetupPageLastBackupLabel,Son Arşivleme:
BackupSetupPageNextBackupLabel,Sonraki Arşivleme:
BackupSetupPageInvalidBackupLabel,<Yok>
BackupSetupPageDeleteOldestLabel,Disk dolduğunda en eski arşivleri sil
BackupDisabledMessage,'%1%' sunucusunda arşivleme devre dışı bırakıldı.\n\nArşivleme, Avigilon Control Center Yönetim Aracı'ndan veya ACC ES web arayüzü üzerinden etkinleştirilebilir.
BackupAllServersDisabledMessage,Tüm sunucularda arşivleme devre dışı bırakıldı.\n\nArşivleme, Avigilon Control Center Yönetim Aracı'ndan veya ACC ES arayüzü üzerinden etkinleştirilebilir.


#################################################
# Email Server Setup Strings
#################################################

ExternalNotificationSetupText,Harici Bildirimler
EmailSetupText,Eposta Bildirimleri
EmailSetupSmtpTabTitle,Eposta Sunucusu
EmailSetupSmtpGroupBoxTitle,Eposta Sunucusu Ayarları:
GeneralServerSetupSmtpSenderName,Gönderici Adı:
GeneralServerSetupSmtpSenderAddress,Gönderici Eposta Adresi:
GeneralServerSetupEmailSubject,Konu Satırı:
GeneralServerSetupSmtpAddress,SMTP Sunucusu:
GeneralServerSetupSmtpPort,Port:
GeneralServerSetupSmtpTimeout,Zaman Aşımı (saniye):
EmailSetupSmtpAuthGroupBoxTitle,Güvenlik ve Kimlik Doğrulaması:
GeneralServerSetupSmtpAuthentication,Sunucu kimlik doğrulaması istiyor
GeneralServerSetupSmtpSsl,Güvenli bağlantı kullan (TLS/SSL)
GeneralServerSetupSmtpUsername,Kullanıcı Adı:
GeneralServerSetupSmtpPassword,Parola:

EmailSetupNotificationTabTitle,Eposta Bildirimleri
EmailSetupRuleListLabel,Eposta Grupları:
EmailSetupRuleNameLabel,Eposta Grubu Adı:
EmailSetupRuleAddLabel,Ekle
EmailSetupRuleRemoveLabel,Kaldır
EmailSetupDefaultRuleName,Yeni Eposta Grubu

EmailSetupMaxGroupsError,Maksimum %1% eposta grubu oluşturulabilir.

EmailSetupMaxAddressesError,Maksimum %1% eposta adresi eklenebilir.
EmailSetupAddedTooManyAddressesError,Tüm kullanıcılar ve gruplar eklenemez.\nMaksimum %1% eposta adresi eklenebilir.

EmailSetupIntervalLabel,En fazla şu sıklıkta eposta gönder:

EmailSetupAddressGroupBox,Eposta Alıcıları:
EmailSetupAddAddressLabel,Eposta Ekle...
EmailSetupAddAddressFormLabel,Eposta Adresi:
EmailSetupAddUserGroupLabel,Kullanıcı/Grup Ekle...
EmailSetupRemoveLabel,Kaldır
EmailSetupInvalidEmailError,Eposta adresi geçersizdir.

EmailSetupTriggerGroupBox,Eposta Tetikleyici:
EmailSetupTriggerSystemEvent,Sistem etkinliği
EmailSetupTriggerMotion,%1%'da hareket algılandı
EmailSetupTriggerMotionAll,herhangi bir kamera
EmailSetupTriggerMotionSome,seçili kameralar
EmailSetupTriggerDigitalInput,%1%'de dijital giriş etkinleşti
EmailSetupTriggerDigitalInputAll,herhangi bir dijital giriş
EmailSetupTriggerDigitalInputSome,seçili dijital girişler
EmailSetupTriggerPOSException,%1%'nda POS işlemi istisnası
EmailSetupTriggerPOSExceptionAll,herhangi bir işlem kaynağı
EmailSetupTriggerPOSExceptionSome,seçili işlem kaynaklarında

EmailSetupRuleActionGroupBox,Eposta Ayarları:

EmailSetupAttachImagesLabel,Olayla bağlantılı kameralardan alınan görüntüleri ekle

EmailSetupScheduleGroupBox,Eposta Programı:

EmailSetupNoNameError,Bu eposta grubu için bir ad seçmelisiniz.
EmailSetupNoTriggerError,Eposta grubu '%1%' için en az bir adet eposta tetikleyici seçmelisiniz.
EmailSetupNoAddressError,Eposta grubu '%1%' için en az bir adet eposta adresi eklemelisiniz.

EmailAttachmentImageTooLarge,%2% sitesindeki olay için '%1%' kamerasından alınan resim, izin verilen maksimum e-posta boyutunu aştığından eklenemedi.\n\n
EmailAttachmentImageError,%2% sitesindeki olay için '%1%' kamerasından alınan resim, şu hatayı döndürdüğü için eklenemedi: %3%\n\n
EmailAttachmentImageRemote,%2% sitesindeki olay için '%1%' kamerasından alınan resim, uzak sunucunun resim sağlamaması nedeniyle eklenemedi.\n\n
EmailAttachmentImageFailed,%2% sitesindeki olay için '%1%' kamerasından resim alınamadı.\n\n
EmailAttachmentVideoTooLarge,%2% sitesindeki olay için '%1%' kamerasından alınan video, izin verilen maksimum e-posta boyutunu aştığından eklenemedi.\n\n
EmailAttachmentVideoTooShort,%2% sitesindeki olay için '%1%' kamerasından alınan video klip çok kısa olduğundan video eklenemedi.\n\n
EmailAttachmentEncodingNotSupported,%2% sitesindeki olay için '%1%' kamerasından alınan videonun kodlaması desteklenmediğinden video eklenemedi.\n\n

CentralMonitoringTabTitle,Merkez İstasyonu İzleme
CentralMonitoringLabel,Merkez İstasyonu Bildirimi
CentralMonitoringEnableLabel,Merkez İstasyonunu İzlemeyi Etkinleştir
CentralMonitoringHeartbeatIntervalLabel,Minimum Atım Aralığı:
CentralMonitoringHeartbeatDisabledLabel,Devre dışı
CentralMonitoringSystemLabel,Merkez İstasyonu Sistemi:
CentralMonitoringOptionsHeader,Seçenekler

CentralMonitoringSendTestMessageLabel,Test Mesajı Gönder
CentralMonitoringTestMessageDialogCaption,Test Mesajı Gönderildi
CentralMonitoringTestMessageDialogText,%1% sunucusundan bir test mesajı gönderildi.
CentralMonitoringTestMessageFailedDialog,Test mesajı gönderilemedi.

CentralMonitoringMaxPeriod1Hr,1 Saat
CentralMonitoringMaxPeriod2Hr,2 Saat
CentralMonitoringMaxPeriod6Hr,6 Saat
CentralMonitoringMaxPeriod12Hr,12 Saat
CentralMonitoringMaxPeriod1Day,1 Gün
CentralMonitoringMaxPeriod2Day,2 Gün

GenericXmlEmailLabel,XML E-posta
GenericXmlCfgName,Gönderen Adı:
GenericXmlCfgEmail,Gönderen E-posta Adresi:
GenericXmlCfgServer,SMTP Sunucusu:
GenericXmlCfgPort,Bağlantı Noktası:
GenericXmlCfgTimeout,Zaman Aşımı (saniye):
GenericXmlCfgAuthentication,Sunucu, kimlik doğrulama gerektiriyor
GenericXmlCfgSsl,Güvenli bağlantı (TLS/SSL) kullan
GenericXmlCfgAuthUsername,Kullanıcı Adı:
GenericXmlCfgAuthPassword,Şifre:
GenericXmlCfgRecipientAddress,Alıcı E-posta Adresi:
GenericXmlCfgInvalidEmailAddress,Alıcı e-posta adresi ve gönderen e-posta adresi gereklidir.
GenericXmlCfgInvalidServerSettings,Sunucu ve bağlantı noktası numarası gereklidir.
GenericXmlCfgInvalidSenderName,Gönderenin Adı gerekli.
GenericXmlCfgInvalidPort,Bağlantı noktası numarası 1-65535 arasında olmalıdır.
GenericXmlCfgEmptyHeartbeatError,Maksimum dönem gerekli.
CentralMonitoringHeartbeatAttachment,Ek:
GenericXmlCfgAttachImage,Cihaz Olayları için Resim
GenericXmlCfgAttachClip,Cihaz Olayları için Video Klip
GenericXmlCfgNoAttachment,Yok

#################################################
# User Tree Dialog
#################################################
UserTreeDialogLabel,Eklenecek Kullanıcılar/Gruplar:
UserTreeDialogLabelUserOnly,Eklenecek Kullanıcılar:

#################################################
# Rule Setup strings
#################################################

RuleMgmtSetupTitle,Kurallar
RuleMgmtAddText,Ekle
RuleMgmtRemoveText,Sil
RuleMgmtEditText,Düzenle
RuleMgmtFirstTrigger,%1% olduğunda,
RuleMgmtOtherTrigger,veya %1%,
RuleMgmtFirstAction,%1%,
RuleMgmtOtherAction,ve %1%,
RuleMgmtFirstCondition,yalnızca şu koşulda: %1%
RuleMgmtOtherCondition,ve %1%,
RuleMgmtConditionConjunctive, ve 
RuleMgmtRuleListTitle,Kurallar:
RuleMgmtResetDefaultsWarningText,Bu işlem tüm mevcut kuralları siler ve fabrika varsayılan kuralını oluşturur.n\nDevam etmek istediğinizden emin misiniz?
RuleMgmtRuleLimitErrorText,Kuralların maksimum sayısına ulaşılmış
RuleMgmtRemoveWarningText,Kural '%1%'ı/i silmek istediğinizden emin misiniz?
RuleMgmtGlobText,en fazla her %1% dakikada bir
RuleMgmtStopText,%1%d, %2%sn için
RuleMgmtStopTextIndefinitely,süresiz olarak
RuleMgmtClientBoundText,%1%
RuleMgmtClientBoundAllClients,tüm kullanıcılar
RuleMgmtActiveScheduleAllDay,Kural her zaman aktif.
RuleMgmtActiveSchedulePartOfDay,Kural %1% ila %2% arasında aktif.
RuleMgmtGlobParamsTitle,Maksimum Frekansı seçin
RuleMgmtGlobParamsIntervalLabel,En fazla şu sıklıkla eyleme geç:
RuleMgmtRuleEnabledLabel,Kural etkinleştirildi
RuleMgmtRuleDiabledLabel,Kural devre dışı bırakıldı
RuleMgmtStopParamsTitle,Maksimum Süreyi Seç
RuleMgmtStopParamsIntervalLabel,Şundan sonra eylemi sonlandır:
RuleMgmtStopParamsNoTimeLimit,Süresiz olarak çalışmasına izin ver
RuleMgmtActionNoExplicitDevicesSelected,Bu kural etkinliğine bağlı kamera yok.\n\nLütfen eyleme geçmek için bir kamerayı açık şekilde belirtin.
RuleMgmtActionTriggerTypeConflict,Daha önceden tanımlanmış bir eylem bir veya daha fazla tetikleyiciyle çelişiyor. Çelişen eylem kuraldan silinecektir.
RuleMgmtActionEmptyEmailParam,Alıcısı olmayan bir eposta eylemi belirttiniz. Lütfen bir veya daha fazla eposta alıcısı belirtin.
RuleMgmtActionEmptyDigitalInputParam,Dijital çıkış gerektiren bir eylem eklediniz. Lütfen bir veya daha fazla dijital çıkış belirtin.
RuleMgmtActionEmptyAlarmParam,Alarm gerektiren bir eylem eklediniz. Lütfen bir veya daha fazla alarm belirtin.
RuleMgmtActionEmptyAlarmAckParam,Alarm kabulü gerektiren bir eylem eklediniz. Lütfen bir alarm kabul türü belirtin.
RuleMgmtValidateFormTitle,Kural Doğrulama
RuleMgmtValidationValid,Seçili kural geçerlidir
RuleMgmtScheduleLabel,Kural Programı '%1%'
RuleMgmtActionEmptyObjectAckParam,Kural eylemi geçersiz veya eksik bir parametre içermektedir. Lütfen eylem parametrelerini gözden geçirin.
RuleMgmtLicenseError,Lisans ihlali

# Wizard strings
RuleWizardTitle,Kural Ayarlama
RuleWizardTypePaneTitle,Kural Türünü Seç
RuleWizardTypePaneCaption,Bu kuralın ne zaman aktif olacağını seç.
RuleWizardTypePaneTriggeredCaption,Bu kuralı bir olay oluştuğunda çalıştır.
RuleWizardTypePaneScheduledCaption,Bu kuralı günün belli bir zamanında çalıştır.
RuleWizardSchedulePaneTitle,Kural Programlamasını Seç
RuleWizardSchedulePaneCaption,Bu kuralın ne zaman etkin olduğunu seç
RuleWizardTriggerPaneTitle,Kural Olaylarını Seç
RuleWizardTriggerPaneCaption,Kural eylemini tetikleyecek olayları seç
RuleWizardActionPaneTitle,Kural Eylemlerini Seç
RuleWizardActionPaneCaption,Kural için eylemleri seç
RuleWizardConditionsPaneTitle,Kural Koşulu/Koşulları Seçin
RuleWizardConditionsPaneCaption,Bu kuralın çalışması için karşılanması gereken koşulları seçin
RuleWizardActiveSchedulePaneTitle,Kural Süresini Seç
RuleWizardActiveSchedulePaneCaption,Bu kuralın ne zaman aktif olacağını seç.
RuleWizardActiveScheduleAllDayText,Tüm gün
RuleWizardActiveSchedulePartOfDayText,Aşağıdaki süreler boyunca:
RuleWizardActiveScheduleStartText,Başlangıç saati:
RuleWizardActiveScheduleEndText,Bitiş saati:
RuleWizardSettingsPaneTitle,Kural Özelliklerini Seç
RuleWizardSettingsNameLabel,Kural Adı:
RuleWizardSettingsDescriptionLabel,Kural Tanımı:
RuleWizardSettingsEnabledLabel,Kural etkinleştirildi
RuleWizardSettingsSchedulesLabel,Program:

# Action strings
RuleActionUserNotificationCategory,Kullanıcı Bildirimi Eylemleri
RuleActionMonitoringCategory,İzleme Eylemleri
RuleActionRecordingCategory,Kayıt Eylemleri
RuleActionApplicationCategory,Uygulama Eylemleri
RuleActionDeviceCategory,Cihaz Eylemleri
RuleActionPTZCategory,PTZ Eylemleri
RuleActionAlarmCategory,Alarm Eylemleri

RuleActionMsgUsersTitle,Ekran mesajı görüntüle
RuleActionMsgUsersClause,şunun için bir ekran mesajı görüntüle
RuleActionMsgUsersClause_v2,şunun için bir ekran %1% görüntüle
RuleActionOpenLiveStreamTitle,Canlı akışı başlat
RuleActionOpenLiveStreamClause,şunun için %1% üzerinde bir canlı akış başlat
RuleActionRecordDeviceTitle,Kameralara kaydet
RuleActionRecordDeviceClause,%1% üzerine kaydet
RuleActionRestartServiceTitle,Avigilon Kontrol Merkezi'ni Tekrar Başlat
RuleActionRestartServiceClause,Avigilon Kontrol Merkezi'ni tekrar başlat
RuleActionRebootDeviceTitle,Kamerayı yeniden başlat
RuleActionRebootDeviceClause,%1% yeniden başlat
RuleActionSendEmailTitle,Eposta yolla
RuleActionSendEmailClause,%1%'a/e eposta yolla
RuleActionSendEmailClause_v2,%1%'a/e %3% ile bir eposta %2% yolla
RuleActionPulseDigitalOutputTitle,Sayısal nabız çıktısı
RuleActionPulseDigitalOutputClause,nabız %1% %2%
RuleActionSetDigitalOutputTitle,Dijital çıkışı etkinleştir
RuleActionSetDigitalOutputClause,%1% etkinleştir
RuleActionPtzClearAuxTitle,Hariciyi Temizle
RuleActionPtzClearAuxClause,%1% üzerinde PTZ harici %2%'yı/yi temizle
RuleActionPtzGoToPresetTitle,Önayara Git
RuleActionPtzGoToPresetClause,%1% üzerinde PTZ önayarı %2%'ya/ye git
RuleActionPtzGoToHomeTitle,Başlangıç Konumu Ön Ayarına Git
RuleActionPtzGoToHomeClause,%1% üzerindeki PTZ başlangıç konumu ön ayarına git
RuleActionPtzSetAuxTitle,Hariciyi Ayarla
RuleActionPtzSetAuxClause,%1% üzerinde PTZ harici %2%'yı/yi ayarla
RuleActionPtzRunPatternTitle,Bir Patterni Çalıştır
RuleActionPtzRunPatternClause,%1% üzerinde PTZ patterni %2%'yı/yi çalıştır
RuleActionAlarmTriggerTitle,Bir alarmı tetikle
RuleActionAlarmTriggerClause,%1% tetikle
RuleActionAlarmAutoAckTitle,Bir alarmı otomatik kabul et
RuleActionAlarmAutoAckClause,%1% otomatik kabul et
RuleActionAlarmAckTitle,Bir alarmı kabul et
RuleActionAlarmAckClause,%1% kabul et
RuleActionPlaySoundTitle,Bir ses oynat
RuleActionPlaySoundClause,%1% sesini oynatma nedeni
RuleActionTriggerDigitalOutputTitle,Dijital çıkışı tetikle
RuleActionTriggerDigitalOutputClause,%1% tetikle
RuleActionCreateBookmarkTitle,Yer İşareti Oluştur
RuleActionCreateBookmarkClause,%3% üzerinde %2% korumasıyla %1% için yer işareti oluştur
RuleActionOpenViewTitle,Kaydedilmiş bir görünümü aç
RuleActionOpenViewClause,şunun için %1% aç
RuleActionMonitorOpenLiveStreamTitle,Bir sanal matris monitöründe canlı akış başlat
RuleActionMonitorOpenLiveStreamClause,şunun için %1% üzerinde görüntü paneli %3% üzerinde %2% için bir canlı akış görüntüle
RuleActionMonitorOpenMapTitle,Bir sanal matris monitöründe harita aç
RuleActionMonitorOpenMapClause,şunun için %1% üzerinde indeks %3%'da/de %2% açın
RuleActionMonitorOpenWebTitle,Bir sanal matris monitöründe web sayfası aç
RuleActionMonitorOpenWebClause,şunun için %1% üzerinde indeks %3%'da/de %2% açın
RuleActionSendExternalNotificationTitle,Merkezi İzleme İstasyonu'na bildirim gönder
RuleActionSendExternalNotificationClause,Merkezi İzleme İstasyonu'na bir bildirim gönder

EmailSetupTestEmail,Test Epostası Yolla
EmailSetupTestEmailDialogCaption,Test Epostası Yollandı
EmailSetupTestEmailDialogText,Bir test epostası yollanmıştır. Başarılı iletimi doğrulamak için, tüm alıcıların gelen kutularını kontrol et.
EmailSetupTestEmailFailedDialog,Test Epostası Başarısız Oldu:\n\n%1%
EmailSetupTestEmailSubject,Avigilon Kontrol Merkezi: Test Epostası
EmailSetupTestEmailText,Bu, Avigilon sunucusu '%1%'dan/den gelen bir test epostasıdır.

EmailSetupDefaultSubjectLine,Avigilon Kontrol Merkezi Sistem Olayı

# Trigger strings

RuleTriggerDeviceCategory,Cihaz Etkinlikleri
RuleTriggerUserCategory,Kullanıcı Etkinlikleri
RuleTriggerAlarmCategory,Alarm Etkinlikleri
RuleTriggerServerCategory,Sunucu Etkinlikleri
RuleTriggerLprCategory,Araç Plakası Doğrulama Etkinlikleri
RuleTriggerPointOfSaleCategory,POS İşlem Etkinlikleri

RuleTriggerDbRecoveredTitle,Veri tabanı hatası
RuleTriggerDbRecoveredClause,bir veri tabanı hatası meydana geldi
RuleTriggerDeviceLostTitle,Bağlantı başarısızlığı
RuleTriggerDeviceLostClause,%1% için bir bağlantı başarısız oldu
RuleTriggerEmailErrorTitle,Eposta gönderme hatası
RuleTriggerEmailErrorClause,bir eposta gönderme hatası meydana geldi
RuleTriggerHardwareErrorTitle,Sunucu donanım etkinliği
RuleTriggerHardwareErrorClause,bir sunucu donanım etkinliği meydana geldi
RuleTriggerExternalPluginTitle,Sunucu uygulama kurulum hatası
RuleTriggerExternalPluginClause,sunucu uygulamasının bir kurulum hatası var
RuleTriggerFwUpgradeFailedTitle,Firmware sürüm yükseltme başarısız
RuleTriggerFwUpgradeFailedClause,bir firmware sürüm yükseltme işlemi %1%'de başarısız oldu
RuleTriggerFwUpgradeStartTitle,Firmware sürüm yükseltme başladı
RuleTriggerFwUpgradeStartClause,bir firmware sürüm yükseltme işlemi %1%'da başladı
RuleTriggerFwUpgradeSuccessTitle,Firmware sürüm yükseltme tamamlandı
RuleTriggerFwUpgradeSuccessClause,bir firmware sürüm yükseltme işlemi %1%'de tamamlandı
RuleTriggerDigitalInputActivatedTitle,Dijital giriş devreye sokuldu
RuleTriggerDigitalInputActivatedClause,%1% devreye sokuldu
RuleTriggerDigitalInputDeactivatedTitle,Dijital giriş devre dışı bırakıldı
RuleTriggerDigitalInputDeactivatedClause,%1% devre dışı bırakıldı
RuleTriggerLicenseExpiredTitle,Lisans sona erdi
RuleTriggerLicenseExpiredClause,lisanslı bir özelliğin süresi doldu
RuleTriggerLicenseExpirySoonTitle,Lisans kısa süre içinde sona eriyor
RuleTriggerLicenseExpirySoonClause,lisans kısa süre içinde sona erecek
RuleTriggerLicensePlateInSightTitle,Araç plakası algılama başlatıldı
RuleTriggerLicensePlateInSightClause,%2% üzerinde en az %3%%% kesinlikle %1% algılandı
RuleTriggerLicensePlateMatchTitle,Araç plakası takip listesi eşleşmesi
RuleTriggerLicensePlateMatchClause,bir araç plakası takip listesi eşleşmesi oluşur
RuleTriggerLicensePlateMatchClause_v2,%1% üzerinde bir araç plakası takip listesi eşleşmesi oluşur
RuleTriggerLicensePlateOutOfSightTitle,Araç plakası algılama sona erdi
RuleTriggerLicensePlateOutOfSightClause,%2% üzerinde en az %3%%% kesinlikle %1% algılaması sona erdi
RuleTriggerLowResourcesTitle,Sunucu uygulamasının kaynakları düşük
RuleTriggerLowResourcesClause,sunucu uygulamasının kaynakları düşük
RuleTriggerAnalyticsStartedTitle,Video analizi olayı başlatıldı
RuleTriggerAnalyticsStartedClause,%1% üzerinde analiz olayı başladı %2%
RuleTriggerAnalyticsEndedTitle,Video analizi olayı sona erdi
RuleTriggerAnalyticsEndedClause,%1% üzerinde analiz olayı sona erdi %2%
RuleTriggerTamperingTitle,Kurcalama algılandı
RuleTriggerTamperingClause,%1% üzerinde kurcalama algılandı
RuleTriggerMotionEndedTitle,Hareket algılaması sona erdi
RuleTriggerMotionEndedClause,%1% üzerinde hareket artık algılanmıyor
RuleTriggerMotionStartedTitle,Hareket algılaması başlatıldı
RuleTriggerMotionStartedClause,%1%'da/de hareket algılandı
RuleTriggerNetworkRemovedTitle,Ağ bağlantısı koptu
RuleTriggerNetworkRemovedClause,bir ağ bağlantısı koptu
RuleTriggerObsoleteFirmwareTitle,Eski gömülü yazılım tespit edildi
RuleTriggerObsoleteFirmwareClause,%1% üzerinde eski gömülü yazılım tespit edildi
RuleTriggerRecordingInterruptedTitle,Kayıt kesintiye uğradı
RuleTriggerRecordingInterruptedClause,%1% için kayıt kesintiye uğradı
RuleTriggerRecordingResumedTitle,Kayıt sürdürüldü
RuleTriggerRecordingResumedClause,%1% için kayıt sürdürüldü
RuleTriggerServerStartTitle,Sunucu uygulaması başlıyor
RuleTriggerServerStartClause,sunucu uygulaması başlıyor
RuleTriggerServerShutdownBadTitle,Sunucu uygulaması beklenmedik şekilde sona erdi
RuleTriggerServerShutdownBadClause,sunucu uygulaması beklenmedik şekilde sona erdi
RuleTriggerServerShutdownNormalTitle,Sunucu uygulaması kapanıyor
RuleTriggerServerShutdownNormalClause,sunucu uygulaması kapanıyor
RuleTriggerUserLoginTitle,Kullanıcı oturum açtı
RuleTriggerUserLoginClause,%1% itibarıyla bir oturum açma işlemi gerçekleşti
RuleTriggerUserLogoutTitle,Kullanıcı oturum kapattı
RuleTriggerUserLogoutClause,%1% itibarıyla bir oturum kapatma işlemi gerçekleştirildi
RuleTriggerAlarmTriggeredTitle,Alarm tetiklendi
RuleTriggerAlarmTriggeredClause,%1% tetiklendi
RuleTriggerAlarmAcknowledgedTitle,Alarm onaylandı
RuleTriggerAlarmAcknowledgedClause,%1% onaylandı
RuleTriggerAlarmAcknowledgedDenyTitle,Alarm onaylanma eylemi engellendi
RuleTriggerAlarmAcknowledgedDenyClause,%1% onaylandı ve eylem engellendi
RuleTriggerAlarmAcknowledgedGrantTitle,Alarm onaylandı
RuleTriggerAlarmAcknowledgedGrantClause,%1% onaylandı
RuleTriggerAlarmAutoAcknowledgedTitle,Alarm otomatik olarak onaylandı
RuleTriggerAlarmAutoAcknowledgedClause,%1% otomatik olarak onaylandı
RuleTriggerBackupEndedTitle,Arşivleme tamamlandı
RuleTriggerBackupEndedClause,arşivleme tamamlandı
RuleTriggerBackupStartedTitle,Arşivleme başladı
RuleTriggerBackupStartedClause,arişivleme başladı
RuleTriggerBackupFailedTitle,Arşivleme başarısız oldu
RuleTriggerBackupFailedClause,arşivleme başarısız oldu
RuleTriggerTTxWatchItemMatchTitle,POS işlemi istisnası
RuleTriggerTTxWatchItemMatchClause,%2% %1%'da meydana geliyor
RuleTriggerTTxTransactionStartedTitle,POS işlemi başladı
RuleTriggerTTxTransactionStartedClause,%1%'da bir POS işlemi başladı
RuleTriggerTTxTransactionEndedTitle,POS işlemi sona erdi
RuleTriggerTTxTransactionEndedClause,%1% üzerinde bir POS işlemi sona erdi
RuleTriggerServerConnectionLostTitle,Sunucu bağlantısı kayboldu
RuleTriggerServerConnectionLostClause,bir sunucuya bağlantı kayboldu

RuleTriggerAlarmAssignedTitle,Alarm atandı
RuleTriggerAlarmAssignedClause,%1% atandı
