#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Luk
RuleActionSendExternalNotificationTitle,Send meddelelse til central overvågningsstation
RuleActionSendExternalNotificationClause,send meddelelse til central overvågningsstation

EmailSetupTestEmail,Send test e-mail
EmailSetupTestEmailDialogCaption,Test e-mail er sendt
EmailSetupTestEmailDialogText,En test e-mail er lige blevet sendt. Tjek indbakken for hver modtager for at bekræfte, at den er leveret.
EmailSetupTestEmailFailedDialog,Test e-mail mislykket:\n\n%1%
EmailSetupTestEmailSubject,Avigilon Control Center: Test e-mail
EmailSetupTestEmailText,Dette er en test e-mail, der kommer fra Avigilon server '%1%'.

EmailSetupDefaultSubjectLine,Avigilon Control Center systemhændelse

# Trigger strings

RuleTriggerDeviceCategory,Enhedshændelser
RuleTriggerUserCategory,Brugerhændelser
RuleTriggerAlarmCategory,Alarmhændelser
RuleTriggerServerCategory,Serverhændelser
RuleTriggerLprCategory,Hændelser med genkendelse af nummerplade
RuleTriggerPointOfSaleCategory,Hændelse POS transaktion

RuleTriggerDbRecoveredTitle,Databasefejl
RuleTriggerDbRecoveredClause,en databasefejl er opstået
RuleTriggerDeviceLostTitle,Forbindelsesfejl
RuleTriggerDeviceLostClause,en forbindelse er mislykket for %1%
RuleTriggerEmailErrorTitle,Fejl for Send e-mail
RuleTriggerEmailErrorClause,en fejl for Send e-mail er opstået
RuleTriggerHardwareErrorTitle,Serverhardware-hændelse
RuleTriggerHardwareErrorClause,en serverhardware-hændelse er opstået
RuleTriggerExternalPluginTitle,Installationsfejl ved serverprogram
RuleTriggerExternalPluginClause,serverprogrammet har en installationsfejl
RuleTriggerFwUpgradeFailedTitle,Firmwareopgradering mislykket
RuleTriggerFwUpgradeFailedClause,en firmwareopgradering er mislykket på %1%
RuleTriggerFwUpgradeStartTitle,Firmwareopgradering startet
RuleTriggerFwUpgradeStartClause,en firmwareopgradering er startet på %1%
RuleTriggerFwUpgradeSuccessTitle,Firmwareopgradering gennemført
RuleTriggerFwUpgradeSuccessClause,en firmwareopgradering er gennemført på %1%
RuleTriggerDigitalInputActivatedTitle,Digitalt input aktiveret
RuleTriggerDigitalInputActivatedClause,%1% er aktiveret
RuleTriggerDigitalInputDeactivatedTitle,Digitalt input deaktiveret
RuleTriggerDigitalInputDeactivatedClause,%1% er deaktiveret
RuleTriggerLicenseExpiredTitle,Licens udløbet
RuleTriggerLicenseExpiredClause,licensen er udløbet
RuleTriggerLicenseExpirySoonTitle,Licens udløber snart
RuleTriggerLicenseExpirySoonClause,licensen vil snart udløbe
RuleTriggerLicensePlateInSightTitle,Nummerplade detektion startet
RuleTriggerLicensePlateInSightClause,%1% er detekteret på %2% med konfidens fra mindst %3%%%
RuleTriggerLicensePlateMatchTitle,Match på nummerplade overvågningsliste
RuleTriggerLicensePlateMatchClause,Et match på nummerplade overvågningsliste er opstået
RuleTriggerLicensePlateMatchClause_v2,et match på nummerplade overvågningsliste er opstået på %1%
RuleTriggerLicensePlateOutOfSightTitle,Nummerplade detektion slut
RuleTriggerLicensePlateOutOfSightClause,%1% detektion slutter på %2% med konfidens fra mindst %3%%%
RuleTriggerLowResourcesTitle,Serverprogram lavt mht. ressourcer
RuleTriggerLowResourcesClause,serverprogrammet er lavt mht. ressourcer
RuleTriggerAnalyticsStartedTitle,Analysehændelsen startede
RuleTriggerAnalyticsStartedClause,%1% den %2%
RuleTriggerAnalyticsEndedTitle,Analysehændelsen sluttede
RuleTriggerAnalyticsEndedClause,%1% den %2%
RuleTriggerTamperingTitle,Manipulation registreret
RuleTriggerTamperingClause,der blev registreret manipulation på %1%
RuleTriggerMotionEndedTitle,Detektion af bevægelse slut
RuleTriggerMotionEndedClause,bevægelser er ikke mere detekteret på %1%
RuleTriggerMotionStartedTitle,Detektion af bevægelse startet
RuleTriggerMotionStartedClause,bevægelse detekteret på %1%
RuleTriggerNetworkRemovedTitle,Netværksforbindelse tabt
RuleTriggerNetworkRemovedClause,en netværksforbindelse er tabt
RuleTriggerObsoleteFirmwareTitle,Forældet firmware er detekteret
RuleTriggerObsoleteFirmwareClause,Der er detekteret forældet firmware på %1%
RuleTriggerRecordingInterruptedTitle,Optagelser er afbrudt
RuleTriggerRecordingInterruptedClause,optagelse er afbrudt for %1%
RuleTriggerRecordingResumedTitle,Optagelse genoptaget
RuleTriggerRecordingResumedClause,optagelse er genoptaget for %1%
RuleTriggerServerStartTitle,Serverprogram starter op
RuleTriggerServerStartClause,serverprogrammet starter op
RuleTriggerServerShutdownBadTitle,Serverprogram uventet afsluttet
RuleTriggerServerShutdownBadClause,serverprogrammet blev uventet afsluttet
RuleTriggerServerShutdownNormalTitle,Serverprogrammet lukker ned
RuleTriggerServerShutdownNormalClause,serverprogrammet lukker ned
RuleTriggerUserLoginTitle,Brugerlogin
RuleTriggerUserLoginClause,et login er opstået for %1%
RuleTriggerUserLogoutTitle,Bruger logout
RuleTriggerUserLogoutClause,et logout er opstået for %1%
RuleTriggerAlarmTriggeredTitle,Alarm udløst
RuleTriggerAlarmTriggeredClause,%1% er udløst
RuleTriggerAlarmAcknowledgedTitle,Alarm kvitteret
RuleTriggerAlarmAcknowledgedClause,der er kvitteret for %1%
RuleTriggerAlarmAcknowledgedDenyTitle,Handling for alarmkvittering nægtet
RuleTriggerAlarmAcknowledgedDenyClause,der er kvitteret for %1% og handlingen er blevet nægtet
RuleTriggerAlarmAcknowledgedGrantTitle,Alarm kvitteret
RuleTriggerAlarmAcknowledgedGrantClause,der er kvitteret for %1%
RuleTriggerAlarmAutoAcknowledgedTitle,Alarm kvitteret
RuleTriggerAlarmAutoAcknowledgedClause,der er automatisk kvitteret for %1%
RuleTriggerBackupEndedTitle,Arkiveringen er fuldført
RuleTriggerBackupEndedClause,arkiveringen er fuldført
RuleTriggerBackupStartedTitle,Arkiveringen er påbegyndt
RuleTriggerBackupStartedClause,arkiveringen er påbegyndt
RuleTriggerBackupFailedTitle,Arkiveringen mislykkedes
RuleTriggerBackupFailedClause,arkiveringen mislykkedes
RuleTriggerTTxWatchItemMatchTitle,Undtagelse for POS transaktion
RuleTriggerTTxWatchItemMatchClause,%2% er opstået på %1%
RuleTriggerTTxTransactionStartedTitle,POS transaktion startet
RuleTriggerTTxTransactionStartedClause,en POS transaktion er startet på %1%
RuleTriggerTTxTransactionEndedTitle,POS transaktion sluttet
RuleTriggerTTxTransactionEndedClause,en POS transaktion er sluttet på %1%
RuleTriggerServerConnectionLostTitle,Serverforbindelse tabt
RuleTriggerServerConnectionLostClause,forbindelsen til serveren er tabt

RuleTriggerAlarmAssignedTitle,Alarm tildelt
RuleTriggerAlarmAssignedClause,%1% er tildelt
RuleTriggerAlarmPurgedTitle,Alarm ryddet
RuleTriggerAlarmPurgedClause,%1% er ryddet
RuleTriggerAlarmUnassignedTitle,Alarm ikke tildelt
RuleTriggerAlarmUnassignedClause,%1% er ikke tildelt
RuleTriggerDeviceConnectedTitle,Forbindelse oprettet
RuleTriggerDeviceConnectedClause,en forbindelse er oprettet for %1%
RuleTriggerDeviceDisconnectedTitle,Forbindelse fjernet
RuleTriggerDeviceDisconnectedClause,en forbindelse er fjernet for %1%
RuleTriggerDeviceRecoveredTitle,Forbindelsen gendannet
RuleTriggerDeviceRecoveredClause,en forbindelse er gendannet for %1%
RuleTriggerFailoverStartedTitle,Forbindelse oprettet til standby server
RuleTriggerFailoverStartedClause,en forbindelse er oprettet til en standby server for %1%
RuleTriggerFailoverStoppedTitle,Forbindelse flyttet fra standby server
RuleTriggerFailoverStoppedClause,en forbindelse er flyttet fra en standby server for %1%
RuleTriggerNetworkAddedTitle,Netværksforbindelse fundet
RuleTriggerNetworkAddedClause,en netværksforbindelse er fundet
RuleTriggerNetworkErrorRecoveredTitle,Netværksfejl løst
RuleTriggerNetworkErrorRecoveredClause,en netværksfejl er løst
RuleTriggerPacketsLostTitle,Netværkspakketab uacceptabelt
RuleTriggerPacketsLostClause,netværkspakketab er uacceptabelt for %1% 
RuleTriggerPacketsRecoveredTitle,Netværkspakketab acceptabelt
RuleTriggerPacketsRecoveredClause,netværkspakketab er acceptabelt for %1%
RuleTriggerRecordingEndedTitle,Optagelse sluttet
RuleTriggerRecordingEndedClause,en optagelse sluttet for %1%
RuleTriggerRecordingStartedTitle,Optagelse startet
RuleTriggerRecordingStartedClause,en optagelse startet for %1%
RuleTriggerStorageInitErrorTitle,Datainitialiseringsfejl
RuleTriggerStorageInitErrorClause,datainitialisering mislykket
RuleTriggerStorageLowDiskSpaceTitle,Datavolumen størrelse reduceret
RuleTriggerStorageLowDiskSpaceClause,en datavolumen størrelse er reduceret pga. manglende diskplads
RuleTriggerStorageUpgradeEndedTitle,Dataopgradering gennemført
RuleTriggerStorageUpgradeEndedClause,en dataopgradering er gennemført
RuleTriggerStorageUpgradeFailedTitle,Dataopgradering mislykket
RuleTriggerStorageUpgradeFailedClause,en dataopgradering er mislykket
RuleTriggerStorageUpgradeStartedTitle,Dataopgradering startet
RuleTriggerStorageUpgradeStartedClause,en dataopgradering er startet
RuleTriggerStorageRecoveryEndedTitle,Datagendannelse gennemført
RuleTriggerStorageRecoveryEndedClause,en datagendannelse er gennemført
RuleTriggerStorageRecoveryFailedTitle,Datagendannelse mislykket
RuleTriggerStorageRecoveryFailedClause,en datagendannelse er mislykket
RuleTriggerStorageRecoveryStartedTitle,Datagendannelse startet
RuleTriggerStorageRecoveryStartedClause,en datagendannelse er startet
RuleTriggerStorageWriteErrorTitle,Dataskrivningsfejl
RuleTriggerStorageWriteErrorClause,en dataskrivningsfejl er opstået for %1%
RuleTriggerStorageVolumeFailedTitle,Datavolumen mislykket
RuleTriggerStorageVolumeFailedClause,en datavolumen er mislykket
RuleTriggerStorageVolumeRestoredTitle,Datavolumen gendannet
RuleTriggerStorageVolumeRestoredClause,en datavolumen er vendt tilbage til en normal tilstand
RuleTriggerStorageBookmarkSaveFailedTitle,Lagring af bookmark mislykket
RuleTriggerStorageBookmarkSaveFailedClause,det mislykkedes at gemme et bookmark oprettet af %1%

RuleTriggerUserPtzActivatedTitle,PTZ flyttet
RuleTriggerUserPtzActivatedClause,PTZ associeret med %1% er flyttet af %2%
RuleTriggerUserPtzIdleTitle,PTZ inaktiv
RuleTriggerUserPtzIdleClause,PTZ associeret med %1% er inaktiv, sidst brugt af %2%

RuleTriggerUserDeviceConnectedTitle,Enhed tilsluttet
RuleTriggerUserDeviceConnectedClause,%1% er tilsluttet af %2%
RuleTriggerUserDeviceDisconnectedTitle,Enhed afbrudt
RuleTriggerUserDeviceDisconnectedClause,%1% er afbrudt af %2%

RuleTriggerUserServerSettingTitle,Serverindstilling ændret
RuleTriggerUserServerSettingClause,en serverindstilling er ændret af %1%
RuleTriggerUserSiteSettingTitle,Siteindstilling ændret
RuleTriggerUserSiteSettingClause,en siteindstilling er ændret af %1%
RuleTriggerUserDeviceSettingTitle,Enhedsindstilling ændret
RuleTriggerUserDeviceSettingClause,en indstilling på %1% er ændret af %2%

RuleTriggerUserBookmarkUpdateTitle,Bookmark opdateret
RuleTriggerUserBookmarkUpdateClause,et bookmark er opdateret af %1%
RuleTriggerUserBookmarkDeleteTitle,Bookmark slettet
RuleTriggerUserBookmarkDeleteClause,et bookmark er slettet af %1%
RuleTriggerUserBookmarkAddTitle,Bookmark tilføjet
RuleTriggerUserBookmarkAddClause,et bookmark er tilføjet af %1%

RuleTriggerUserExportTitle,Eksport udført
RuleTriggerUserExportClause,en eksport er udført på %1% af %2%

RuleTriggerUserDigitalOutputTriggeredTitle,Digitalt output udløst
RuleTriggerUserDigitalOutputTriggeredClause,%1% er udløst af %2%

RuleTriggerUserSpeakerActivatedTitle,Højtaler aktiveret
RuleTriggerUserSpeakerActivatedClause,%1% er aktiveret af %2%
RuleTriggerUserSpeakerDeactivatedTitle,Højtaler deaktiveret
RuleTriggerUserSpeakerDeactivatedClause,%1% er deaktiveret af %2%

RuleTriggerUserVirtualMatrixMonitorOpenedTitle,Virtuel matrix monitor åbnet
RuleTriggerUserVirtualMatrixMonitorOpenedClause,Virtuelt matrixprogram åbner %1% af %2%

RuleTriggerUserSavedViewCreateTitle,Visning tilføjet
RuleTriggerUserSavedViewCreateClause,en visning er tilføjet af %1%
RuleTriggerUserSavedViewModifyTitle,Visning opdateret
RuleTriggerUserSavedViewModifyClause,%1% er opdateret af %2%
RuleTriggerUserSavedViewDeleteTitle,Visning slettet
RuleTriggerUserSavedViewDeleteClause,%1% er opdateret af %2%

RuleTriggerUserMapCreateTitle,Kort tilføjet
RuleTriggerUserMapCreateClause,et kort er tilføjet af %1%
RuleTriggerUserMapModifyTitle,Kort opdateret
RuleTriggerUserMapModifyClause,%1% er opdateret af %2%
RuleTriggerUserMapDeleteTitle,Kort slettet
RuleTriggerUserMapDeleteClause,%1% er opdateret af %2%

RuleTriggerUserWebLinkCreateTitle,Webside tilføjet
RuleTriggerUserWebLinkCreateClause,en webside er tilføjet af %1%
RuleTriggerUserWebLinkModifyTitle,Webside opdateret
RuleTriggerUserWebLinkModifyClause,%1% er opdateret af %2%
RuleTriggerUserWebLinkDeleteTitle,Webside slettet
RuleTriggerUserWebLinkDeleteClause,%1% er opdateret af %2%

RuleTriggerUserSiteViewModifyTitle,Sitevisning opdateret
RuleTriggerUserSiteViewModifyClause,sitevisning er opdateret af '%1%'

RuleTriggerUserMacroTitle,Brugerdefineret tastaturkommando er udløst
RuleTriggerUserMacroClause,den brugerdefinerede tastaturkommando med  ID %1% er udløst af %2%

# Condition strings
RuleConditionDeviceCategory,Enhedshændelser

RuleConditionDigitalInputIsActiveTitle,Digitalt input er aktivt
RuleConditionDigitalInputIsActiveClause,%1% er aktiv
RuleConditionDigitalInputAreActiveClause,%1% er aktive
RuleConditionDigitalInputIsDeactivatedTitle,Digitalt input er ikke aktivt
RuleConditionDigitalInputIsDeactivatedClause,%1% er ikke aktiv
RuleConditionDigitalInputAreDeactivatedClause,%1% er ikke aktive

RuleParamSystemTreeListDeviceTitle,Vælg kamera
RuleParamSystemTreeListDeviceTitlePlural,Vælg kameraer
RuleParamSystemTreeListDeviceNoneLabel,Intet kamera
RuleParamSystemTreeListDeviceNoneLabelPlural,Ingen kameraer
RuleParamSystemTreeListDeviceAnyLabel,Ethvert kamera
RuleParamSystemTreeListDeviceAnyActionLabel,Kameraet linket til hændelsen
RuleParamSystemTreeListDeviceSelectLabel,Ethvert af følgende kameraer:
RuleParamSystemTreeListDeviceSelectActionLabel,Alle af følgende kameraer:
RuleParamSystemTreeListDeviceAll,ethvert kamera
RuleParamSystemTreeListDeviceAllAction,kameraet linket til hændelsen
RuleParamSystemTreeListDevice,kamera '%1%'
RuleParamSystemTreeListDevicePlural,kameraer '%1%'
RuleParamSystemTreeListDeviceName,kamera

RuleParamSystemTreeListMapTitle,Vælg kort
RuleParamSystemTreeListMapTitlePlural,Vælg kort
RuleParamSystemTreeListMapNoneLabel,Intet kort
RuleParamSystemTreeListMapNoneLabelPlural,Ingen kort
RuleParamSystemTreeListMapAnyLabel,Ethvert kort
RuleParamSystemTreeListMapAnyActionLabel,Kortet linket til hændelsen
RuleParamSystemTreeListMapSelectLabel,Ethvert af følgende kort:
RuleParamSystemTreeListMapSelectActionLabel,Alle følgende kort:
RuleParamSystemTreeListMapAll,ethvert kort
RuleParamSystemTreeListMapAllAction,kortet linket til hændelsen
RuleParamSystemTreeListMap,kort '%1%'
RuleParamSystemTreeListMapPlural,kort '%1%'
RuleParamSystemTreeListMapName,kort

RuleParamSystemTreeListWebLinkTitle,Vælg webside
RuleParamSystemTreeListWebLinkTitlePlural,Vælg websider
RuleParamSystemTreeListWebLinkNoneLabel,Ingen webside
RuleParamSystemTreeListWebLinkNoneLabelPlural,Ingen webside
RuleParamSystemTreeListWebLinkAnyLabel,Enhver webside
RuleParamSystemTreeListWebLinkAnyActionLabel,Websiden linket til hændelsen
RuleParamSystemTreeListWebLinkSelectLabel,Ethvert af følgende websider:
RuleParamSystemTreeListWebLinkSelectActionLabel,Alle af følgende websider:
RuleParamSystemTreeListWebLinkAll,enhver webside
RuleParamSystemTreeListWebLinkAllAction,websiden linket til hændelsen
RuleParamSystemTreeListWebLink,webside '%1%'
RuleParamSystemTreeListWebLinkPlural,websider '%1%'
RuleParamSystemTreeListWebLinkName,webside

RuleParamSystemTreeListSavedViewTitle,Vælg gemt visning
RuleParamSystemTreeListSavedViewTitlePlural,Vælg gemte visninger
RuleParamSystemTreeListSavedViewNoneLabel,Ingen gemt visning
RuleParamSystemTreeListSavedViewNoneLabelPlural,Ingen gemte visninger
RuleParamSystemTreeListSavedViewAnyLabel,Enhver gemt visning
RuleParamSystemTreeListSavedViewAnyActionLabel,Gemte visning linket til hændelsen
RuleParamSystemTreeListSavedViewSelectLabel,Enhver af følgende gemte visninger:
RuleParamSystemTreeListSavedViewSelectActionLabel,Alle af følgende gemte visninger:
RuleParamSystemTreeListSavedViewAll,Enhver gemt visning
RuleParamSystemTreeListSavedViewAllAction,gemte visning linket til hændelsen
RuleParamSystemTreeListSavedView,gemt visning '%1%'
RuleParamSystemTreeListSavedViewPlural,gemte visninger '%1%'
RuleParamSystemTreeListSavedViewName,gemt visning

RuleParamSystemTreeListMonitorTitle,Vælg monitor
RuleParamSystemTreeListMonitorTitlePlural,Vælg monitorer
RuleParamSystemTreeListMonitorNoneLabel,Ingen monitor
RuleParamSystemTreeListMonitorNoneLabelPlural,Ingen monitorer
RuleParamSystemTreeListMonitorAnyLabel,Ingen monitorer
RuleParamSystemTreeListMonitorAnyActionLabel,Enhver monitor Monitoren linket til hændelsen
RuleParamSystemTreeListMonitorSelectLabel,Enhver af følgende monitorer:
RuleParamSystemTreeListMonitorSelectActionLabel,Alle af følgende monitorer:
RuleParamSystemTreeListMonitorAll,enhver monitor
RuleParamSystemTreeListMonitorAllAction,monitoren linket til hændelsen
RuleParamSystemTreeListMonitor,monitor '%1%'
RuleParamSystemTreeListMonitorPlural,monitorer '%1%'
RuleParamSystemTreeListMonitorName,monitor

RuleParamDeviceListTitle,Vælg kameraer
RuleParamDeviceListAnyLabel,Ethvert kamera
RuleParamDeviceListAnyActionLabel,Kameraet linket til hændelsen
RuleParamDeviceListNoneLabel,Intet kamera
RuleParamDeviceListSelectLabel,Ethvert af følgende kameraer:
RuleParamDeviceListSelectActionLabel,Alle af følgende kameraer:
RuleParamDigitalOutputListTitle,Vælg digitale outputs
RuleParamSpeakerListTitle,Vælg højtalere
RuleParamDeviceIdsAll,ethvert kamera
RuleParamDeviceIdsAllAction,kameraet linket til hændelsen
RuleParamDeviceIdsSingular,kamera '%1%'
RuleParamDeviceIdsPlural,kameraer '%1%'
RuleParamImageAttachNone,ingen billeder vedhæftet
RuleParamImageAttachEvent,billeder vedhæftet fra kamera linket til hændelsen
RuleParamImageAttachSingular,billede vedhæftet fra kamera '%1%'
RuleParamImageAttachPlural,billeder vedhæftet fra kameraerne '%1%'
RuleParamDigitalOutputsNone,et digitalt output
RuleParamDigitalOutputsSingular,digitalt output '%1%'
RuleParamDigitalOutputsPlural,digitale outputs '%1%'
RuleParamSpeakerOutputsNone,et højtaler output
RuleParamSpeakerOutputsSingular,højtaler output '%1%'
RuleParamSpeakerOutputsPlural,højtaler outputs '%1%'
RuleParamDigitalInputListTitle,Vælg digitale inputs
RuleParamDigitalInputListAnyLabel,Ethvert digitalt input
RuleParamDigitalInputListSelectLabel,Ethvert af følgende digitale inputs:
RuleParamDigitalInputListSelectConditionLabel,Alle nedenstående er digitale input:
RuleParamDigitalInputsNone,ethvert digitalt input
RuleParamDigitalInputsSingular,digitalt input '%1%'
RuleParamDigitalInputsPlural,digitale inputs '%1%'
RuleParamTextSourcesListAnyLabel,Enhver transaktionskilde
RuleParamTextSourcesListSelectLabel,Enhver af følgende transaktionskilder:
RuleParamTextSourcesListTitle,Vælg transaktionskilder
RuleParamTextSourcesAll,enhver transaktionskilde
RuleParamTextSourcesAllAction,transaktionskilden som hændelsen skete på
RuleParamTextSourcesSingular,transaktionskilde '%1%'
RuleParamTextSourcesPlural,transaktionskilder '%1%'
RuleParamTransactWatchListAnyLabel,Enhver undtagelse for POS transaktion
RuleParamTransactWatchListSelectLabel,Enhver af følgende undtagelser for POS transaktion:
RuleParamTransactWatchListTitle,Vælg undtagelser for POS transaktion
RuleParamTransactWatchListAll,Enhver undtagelse for POS transaktion
RuleParamTransactWatchListSingular,Undtagelse for POS transaktion '%1%'
RuleParamTransactWatchListPlural,Undtagelser for POS transaktion '%1%'
RuleParamLicensePlatesAll,enhver nummerplade
RuleParamLicensePlatesSingular,nummerplade %1%
RuleParamLicensePlatesPlural,nummerplader %1%
RuleParamLicensePlatesAnyLabel,Enhver nummerplade
RuleParamLicensePlatesSelectLabel,Enhver af følgende nummerplader:
RuleParamLicensePlatesAddLabel,Tilføj
RuleParamLicensePlatesRemoveLabel,Fjern
RuleParamLicensePlatesTitle,Vælg nummerplader
RuleParamDigitalOutputPulseConfigTitle,Vælg impulsparameter
RuleParamDigitalOutputPulseConfigDutyCycleLabel,Opgavecyklus:
RuleParamDigitalOutputPulseConfigDutyCyclePostLabel,%%
RuleParamDigitalOutputPulseConfigPeriodLabel,Periode:
RuleParamDigitalOutputPulseConfigPeriodPostLabel,ms
RuleParamDigitalOutputPulseConfigPeriodTooSmall,Hver digitale output impuls skal være større end 200 ms.\n\nÆndr venligst din periode og/eller opgavecyklus.
RuleParamDigitalOutputPulseConfigRepeatCountLabel,Gentag tælling:
RuleParamDigitalOutputPulseConfigDutyRepeat,%3% gange for %1%ms med en opgavecyklus på %2%%%
RuleParamEmailAddresses,E-mail-modtagere
RuleParamEmailFormTitle,Vælg e-mail-modtagere
RuleParamEmailRecipient,en modtager
RuleParamIntegerFormTitle,Vælg værdi
RuleParamMillisecondsPreString,Tid:
RuleParamMillisecondsPostString,millisekund(-er)
RuleParamMillisecondsPlural,%1% millisekunder
RuleParamMillisecondsSingular,1 millisekund
RuleParamMinutesPreString,Tid:
RuleParamMinutesPostString,minut(-ter)
RuleParamMinutesPlural,%1% minutter
RuleParamMinutesSingular,1 minut
RuleParamIndexPreString,Indeks:
RuleParamIndexPreStringPtzAux,PTZ auxiliary:
RuleParamIndexPreStringPtzPattern,PTZ mønster:
RuleParamIndexPreStringPtzPreset,PTZ forudindstilling:
RuleParamIndexString,antal %1%
RuleParamSecondsPreString,Tid:
RuleParamSecondsPostString,sekund(-er)
RuleParamSecondsPlural,%1% sekunder
RuleParamSecondsSingular,1 sekund
RuleParamSizeMBPreString,Størrelse:
RuleParamSizeMBPostString,MB
RuleParamSizeMBString,%1% MB
RuleParamUserListTitle,Vælg brugere
RuleParamUserListGroupsNode,Grupper
RuleParamUserListUsersNode,Brugere
RuleParamUserListAnyLabel,enhver bruger
RuleParamUserListAllLabel,Alle brugere
RuleParamUserListAnyFormLabel,Enhver bruger
RuleParamUserListSelectAnyLabel,Enhver af følgende brugere og/eller grupper:
RuleParamUserListSelectAllLabel,Alle af følgende brugere og/eller grupper:
RuleParamAlarmIdsTitle,Vælg alarmer
RuleParamAlarmIdsAnyLabel,Enhver alarm
RuleParamAlarmIdsSelectLabel,Enhver af følgende alarmer:
RuleParamAlarmIdsAll,enhver alarm
RuleParamAlarmIdsAllAction,en alarm
RuleParamAlarmIdsSingular,alarm '%1%'
RuleParamAlarmIdsPlural,alarmer '%1%'
RuleParamPercentageTitle,Vælg procentdel
RuleParamUnknownValue,Ukendt
RuleParamAudioFileTitle,Vælg lyd
RuleParamAudioFile,'%1%'
RuleParamAudioFileLabel,Lyd:
RuleParamAlarmAckNormalTitle,Kvitter for alarm, normal
RuleParamAlarmAckGrantTitle,Kvitter for alarm, overdrag
RuleParamAlarmAckDenyTitle,Kvitter for alarm, afvis
RuleParamAlarmAckPermissionFormTitle,Vælg kvittering af alarm
RuleParamAlarmAckPermissionFormLabel,Kvitteringstype:
RuleParamAnalyticsActivityListTitle,Vælg typer af videoanalysehændelser
RuleParamAnalyticsNameListTitle,Vælg videoanalysehændelser
RuleParamAnalyticsActivityListAnyLabel,En vilkårlig videoanalysehændelse
RuleParamAnalyticsNameListAnyLabel,En vilkårlig videoanalysehændelse
RuleParamAnalyticsActivityListSelectLabel,En af følgende vilkårlige videoanalysehændelser:
RuleParamAnalyticsNameListSelectLabel,En af følgende vilkårlige videoanalysehændelser:
RuleParamAnalyticsActivitiesAll,en vilkårlig videoanalysehændelse
RuleParamAnalyticsEventNameAll,en vilkårlig videoanalysehændelse
RuleParamAnalyticsActivity,%1%
RuleParamAnalyticsName,%1%

RuleParamStringMessageTitle,Definer meddelelse
RuleParamUserListDefaultLabel,Brug standard meddelelse
RuleParamUserListSelectCustomLabel,Brug brugerdefineret meddelelse
RuleParamStringMessageLabel,meddelelse
RuleParamStringMessageTooManyLinesText,Meddelelsen bliver klippet i %1% linjer.

RuleParamOnOffLabelOn,til
RuleParamOnOffLabelOff,fra

RuleParamDurationFormTitle,Vælg varighed
RuleParamDurationFormLabel,Varighed:

RuleSystemDefaultNameShowToUsers,Giv brugere besked (standard)
RuleSystem412DefaultNameShowToUsers,Giv brugere besked (4.12 standardregel)
RuleSystemDefaultDescription,En standardregel genereret af systemet
RuleConvertedFromEmailDestMapName,E-mail-regel '%1%'
RuleConvertedFromEmailDestMapDescription,En regel genereret af systemet fra e-mail-advarsels opsætningssiden fra en tidligere version

RuleValidationDeviceNotConnected,%2% angiver afbrudte enheder: %1%.
RuleValidationDeviceNotFound,%1% angiver en enhed, der ikke er til stede.
RuleValidationNoExplicitDevices,%1% kræver en bestemt enhed, da ingen udløsertype indeholder et enhedsargument.
RuleValidationEmailListEmpty,%1% indeholder en tom liste over e-mail-adresser.
RuleValidationDigitalOutputListEmpty,%1% indeholder en tom liste over relæer.
RuleValidationUserNotFound,%1% angiver en bruger, der ikke findes mere i databasen.
RuleValidationGroupNotFound,%1% angiver en gruppe, der ikke findes mere i databasen.
RuleValidationNoDurationForStopCondition,%1% bruger en stopbetingelse, men angiver ikke en maksimal handlingsvarighed.
RuleValidationTypeNotAllowed,'%1%' handlingen har ikke tilladelse til at udløse '%2%' handlingen.
RuleValidationNoConnectedDevices,%1% angiver en enhed som en parameter, men der er ingen tilsluttede enheder i systemet.

RuleValidationActionTypeSingular,'%1%' handlingen
RuleValidationTriggerTypeSingular,'%1%' hændelsen
RuleValidationActionAndStopActionType,'%1%' stopudløser i '%2%' handlingen


#################################################
# Backup Restore
#################################################
BackupRestoreFileType,AVS-filer (*.avs)|*.avs|Alle filer (*.*)|*.*

BackupSettingsTitle,Instillinger for sikkerhedskopiering
BackupSettingsChooseServer,Sikkerhedskopieringssite og serverindstillinger fra serveren:
BackupSettingsError,Der opstod en fejl under sikkerhedskopiering af indstillinger.
BackupSettingsCheckBox,Kryptér sikkerhedskopifilen.
BackupSettingsWarning,Sikkerhedskopifilen kan ikke gendannes uden denne adgangskode.
BackupSettingsNoMatch,De angivne adgangskoder stemmer ikke overens.
BackupSettingsEmpty,Der skal angives en adgangskode.
BackupSettingsPasswordLimit,Adgangskoden må kun indeholde op til 128 tegn.
BackupSettingsSuccessful,Sikkerhedskopieringen blev fuldført

RestoreSettingsTitle,Indstillinger for gendannelse
RestoreSettingsSiteAndServer,Gendan indstillinger for site og server
RestoreSettingsServerOnly,Gendan indstillinger for server
