#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Bezárás
EmailSetupAddUserGroupLabel,Felhasználó/csoport hozzáadása...
EmailSetupRemoveLabel,Eltávolítás
EmailSetupInvalidEmailError,Az e-mail-cím érvénytelen.

EmailSetupTriggerGroupBox,E-mail indító:
EmailSetupTriggerSystemEvent,Rendszeresemény
EmailSetupTriggerMotion,Mozgás érzékelhető itt: %1%
EmailSetupTriggerMotionAll,bármelyik kamera
EmailSetupTriggerMotionSome,kiválasztott kamerák
EmailSetupTriggerDigitalInput,Digitális bemenet aktiválva itt: %1%
EmailSetupTriggerDigitalInputAll,bármelyik digitális bemenet
EmailSetupTriggerDigitalInputSome,kiválasztott digitális bemenetek
EmailSetupTriggerPOSException,POS-tranzakciós kivétel a következő helyen: %1%
EmailSetupTriggerPOSExceptionAll,bármelyik tranzakcióforrás
EmailSetupTriggerPOSExceptionSome,kiválasztott tranzakcióforrások

EmailSetupRuleActionGroupBox,E-mail beállítások:

EmailSetupAttachImagesLabel,Képek csatolása az eseményhez kapcsolt kamerá(k)ról

EmailSetupScheduleGroupBox,E-mail ütemezés:

EmailSetupNoNameError,Nevet kell választania az e-mail-csoport számára.
EmailSetupNoTriggerError,Legalább egy e-mail-indítót ki kell választania\na(z) '%1%' ee-mail-soport számára.
EmailSetupNoAddressError,Legalább egy e-mail-címet hozzá kell adnia\na(z) '%1%' ee-mail-soport számára.

EmailAttachmentImageTooLarge,A(z) „%1%” kamera „%2%” eseményéhez tartozó felvétel nem csatolható, mivel az e-mail mérete túllépte a megengedett maximumot.\n\n
EmailAttachmentImageError,A(z) „%1%” kamera „%2%” eseményéhez tartozó felvétel nem csatolható, mivel a kép lekérése hibát eredményezett: %3%\n\n
EmailAttachmentImageRemote,A(z) „%1%” kamera „%2%” eseményéhez tartozó felvétel nem csatolható, mivel a távoli kiszolgáló nem küldött képet.\n\n
EmailAttachmentImageFailed,A(z) „%1%” %2% eseményéhez tartozó képének lekérése nem sikerült.\n\n
EmailAttachmentVideoTooLarge,A(z) „%1%” kamera %2% eseményéhez tartozó videófelvételének csatolása nem sikerült, mert az e-mail mérete túllépte a megengedett maximumot.\n\n
EmailAttachmentVideoTooShort,A(z) „%1%” kamera „%2%” eseményéhez tartozó felvétel nem csatolható, mivel a felvétel túl rövid.\n\n
EmailAttachmentEncodingNotSupported,A(z) „%1%” kamera „%2%” eseményéhez tartozó felvétel nem csatolható, mivel a kódolás nem támogatott.\n\n

CentralMonitoringTabTitle,Központi felügyelet
CentralMonitoringLabel,Központi felügyelet értesítése
CentralMonitoringEnableLabel,Központi felügyelet engedélyezése
CentralMonitoringHeartbeatIntervalLabel,Minimális szívverési időköz:
CentralMonitoringHeartbeatDisabledLabel,Letiltva
CentralMonitoringSystemLabel,Központi felügyeleti rendszer:
CentralMonitoringOptionsHeader,Beállítások

CentralMonitoringSendTestMessageLabel,Tesztüzenet küldése
CentralMonitoringTestMessageDialogCaption,Tesztüzenet elküldve
CentralMonitoringTestMessageDialogText,Egy tesztüzenet épp most lett elküldve a(z) %1% kiszolgálóról.
CentralMonitoringTestMessageFailedDialog,A tesztüzenet elküldése sikertelen.

CentralMonitoringMaxPeriod1Hr,1 óra
CentralMonitoringMaxPeriod2Hr,2 óra
CentralMonitoringMaxPeriod6Hr,6 óra
CentralMonitoringMaxPeriod12Hr,12 óra
CentralMonitoringMaxPeriod1Day,1 nap
CentralMonitoringMaxPeriod2Day,2 nap

GenericXmlEmailLabel,XML-e-mail
GenericXmlCfgName,Feladó neve:
GenericXmlCfgEmail,Feladó e-mail-címe:
GenericXmlCfgServer,SMTP-kiszolgáló:
GenericXmlCfgPort,Port:
GenericXmlCfgTimeout,Időtúllépés (másodperc):
GenericXmlCfgAuthentication,A kiszolgáló hitelesítést igényel
GenericXmlCfgSsl,Biztonságos kapcsolat használata (TLS/SSL)
GenericXmlCfgAuthUsername,Felhasználónév:
GenericXmlCfgAuthPassword,Jelszó:
GenericXmlCfgRecipientAddress,Címzett e-mail-címe:
GenericXmlCfgInvalidEmailAddress,A címzett e-mail-címét és a feladó e-mail-címét kötelező megadni.
GenericXmlCfgInvalidServerSettings,A kiszolgálót és a portszámot kötelező megadni.
GenericXmlCfgInvalidSenderName,A feladó nevét kötelező megadni.
GenericXmlCfgInvalidPort,A portszámnak 1 és 65535 között kell lennie.
GenericXmlCfgEmptyHeartbeatError,A maximális időszakot kötelező megadni.
CentralMonitoringHeartbeatAttachment,Csatolmány:
GenericXmlCfgAttachImage,Kép az eszköz eseményeiről
GenericXmlCfgAttachClip,Videófelvétel az eszköz eseményeiről
GenericXmlCfgNoAttachment,Nincs

#################################################
# User Tree Dialog
#################################################
UserTreeDialogLabel,Hozzáadandó felhasználók/csoportok:
UserTreeDialogLabelUserOnly,Hozzáadandó felhasználók:

#################################################
# Rule Setup strings
#################################################

RuleMgmtSetupTitle,Szabályok
RuleMgmtAddText,Hozzáadás
RuleMgmtRemoveText,Törlés
RuleMgmtEditText,Szerkesztés
RuleMgmtFirstTrigger,Ha %1%,
RuleMgmtOtherTrigger,vagy %1%,
RuleMgmtFirstAction,%1%,
RuleMgmtOtherAction,és %1%,
RuleMgmtFirstCondition,csak ha %1%
RuleMgmtOtherCondition,és %1%,
RuleMgmtConditionConjunctive, és 
RuleMgmtRuleListTitle,Szabályok:
RuleMgmtResetDefaultsWarningText,Ez törli az összes meglévő szabályt, és létrehozza a gyári alapértelmezett szabályt.\n\nBiztosan folytatja?
RuleMgmtRuleLimitErrorText,Elérte a szabályok maximális számát
RuleMgmtRemoveWarningText,Biztosan törli a(z) '%1%' szabályt?
RuleMgmtGlobText,legfeljebb %1% percenként
RuleMgmtStopText,%1%p, %2%mp
RuleMgmtStopTextIndefinitely,határozatlan ideig
RuleMgmtClientBoundText,%1%
RuleMgmtClientBoundAllClients,az összes felhasználó
RuleMgmtActiveScheduleAllDay,A szabály mindig aktív.
RuleMgmtActiveSchedulePartOfDay,A szabály %1% és %2% között aktív.
RuleMgmtGlobParamsTitle,Maximális gyakoriság kiválasztása
RuleMgmtGlobParamsIntervalLabel,Intézkedés gyakorisága legfeljebb:
RuleMgmtRuleEnabledLabel,A szabály engedélyezve van
RuleMgmtRuleDiabledLabel,A szabály le van tiltva
RuleMgmtStopParamsTitle,Maximális időtartam kiválasztása
RuleMgmtStopParamsIntervalLabel,Intézkedés leállítása a következő után:
RuleMgmtStopParamsNoTimeLimit,Határozatlan ideig tartó futás engedélyezése
RuleMgmtActionNoExplicitDevicesSelected,Egyetlen kamera sincs hozzákapcsolva a szabály eseményeihez.\n\nHatározzon meg egy kamerát a művelet elvégzéséhez.
RuleMgmtActionTriggerTypeConflict,Egy korábban meghatározott művelet egy vagy több kiváltó okkal ütközik. A rendszer törli az ütköző műveletet a szabályból.
RuleMgmtActionEmptyEmailParam,Címzett nélkül adott meg egy e-mail-műveletet. Adjon meg egy vagy több e-mail-címzettet.
RuleMgmtActionEmptyDigitalInputParam,A hozzáadott művelet digitális kimenetet igényel. Adjon meg egy vagy több digitális kimenetet.
RuleMgmtActionEmptyAlarmParam,A hozzáadott művelet riasztást igényel. Adjon meg egy vagy több riasztást.
RuleMgmtActionEmptyAlarmAckParam,A hozzáadott művelet riasztásnyugtázást igényel. Adjon meg egy riasztásnyugtázási típust.
RuleMgmtValidateFormTitle,Szabály érvényesítése
RuleMgmtValidationValid,A kiválasztott szabály érvényes
RuleMgmtScheduleLabel,A szabály ütemezése: '%1%'
RuleMgmtActionEmptyObjectAckParam,A szabályművelet érvénytelen vagy hiányzó paramétert tartalmaz. Ellenőrizze a művelet paramétereit.
RuleMgmtLicenseError,Licenc megsértése

# Wizard strings
RuleWizardTitle,Szabály beállítása
RuleWizardTypePaneTitle,Szabálytípus kiválasztása
RuleWizardTypePaneCaption,Válassza ki, hogy a szabály mikor legyen aktív.
RuleWizardTypePaneTriggeredCaption,Futtassa ezt a szabályt, ha esemény történik.
RuleWizardTypePaneScheduledCaption,A nap megadott időpontjában futtassa ezt a szabályt.
RuleWizardSchedulePaneTitle,Szabályütemezés kiválasztása
RuleWizardSchedulePaneCaption,Válassza ki, hogy a szabály mikor legyen aktív
RuleWizardTriggerPaneTitle,Szabályesemény(ek) kiválasztása
RuleWizardTriggerPaneCaption,Válassza ki a szabályműveletet elindító esemény(eke)t
RuleWizardActionPaneTitle,Szabályművelet(ek) kiválasztása
RuleWizardActionPaneCaption,Válassza ki a szabályhoz tartozó művelete(ke)t
RuleWizardConditionsPaneTitle,Szabályfeltétel(ek) kiválasztása
RuleWizardConditionsPaneCaption,Válassza ki azt a feltétel (feltételeket), amelyet a szabály futásához teljesíteni kell
RuleWizardActiveSchedulePaneTitle,Szabály időtartamának kiválasztása
RuleWizardActiveSchedulePaneCaption,Válassza ki, hogy a szabály mikor legyen aktív.
RuleWizardActiveScheduleAllDayText,Egész nap
RuleWizardActiveSchedulePartOfDayText,A következő időtartamok során:
RuleWizardActiveScheduleStartText,Kezdő időpont:
RuleWizardActiveScheduleEndText,Záró időpont:
RuleWizardSettingsPaneTitle,Szabály tulajdonságainak kiválasztása
RuleWizardSettingsNameLabel,Szabály neve:
RuleWizardSettingsDescriptionLabel,Szabály leírása:
RuleWizardSettingsEnabledLabel,A szabály engedélyezve van
RuleWizardSettingsSchedulesLabel,Ütemezés:

# Action strings
RuleActionUserNotificationCategory,Felhasználó-értesítési műveletek
RuleActionMonitoringCategory,Megfigyelési műveletek
RuleActionRecordingCategory,Rögzítési műveletek
RuleActionApplicationCategory,Alkalmazásműveletek
RuleActionDeviceCategory,Eszközműveletek
RuleActionPTZCategory,PTZ-műveletek
RuleActionAlarmCategory,Riasztási műveletek

RuleActionMsgUsersTitle,Képernyőn megjelenő üzenet megjelenítése
RuleActionMsgUsersClause,képernyőn megjelenő üzenet megjelenítése a következőhöz:
RuleActionMsgUsersClause_v2,képernyőn megjelenő %1% megjelenítése a következőhöz:
RuleActionOpenLiveStreamTitle,Élő adatfolyam indítása
RuleActionOpenLiveStreamClause,élő adatfolyam indítása itt: %1% a következő számára:
RuleActionRecordDeviceTitle,Rögzítés kamerákon
RuleActionRecordDeviceClause,rögzítés itt: %1%
RuleActionRestartServiceTitle,Az Avigilon Control Center újraindítása
RuleActionRestartServiceClause,az Avigilon Control Center újraindítása
RuleActionRebootDeviceTitle,A kamera újraindítása
RuleActionRebootDeviceClause,a(z) %1% újraindítása
RuleActionSendEmailTitle,E-mail küldése
RuleActionSendEmailClause,e-mail küldése a következőnek: %1%
RuleActionSendEmailClause_v2,%2% e-mail küldése a következővel: %3%, címzett: %1%
RuleActionPulseDigitalOutputTitle,Impulzusos digitális kimenet
RuleActionPulseDigitalOutputClause,impulzusos %1% %2%
RuleActionSetDigitalOutputTitle,Digitális kimenet aktiválása
RuleActionSetDigitalOutputClause,%1% aktiválása
RuleActionPtzClearAuxTitle,Kiegészítő funkció törlése
RuleActionPtzClearAuxClause,%2% PTZ kiegészítő funkció törlése itt: %1%
RuleActionPtzGoToPresetTitle,Ugrás az előzetes beállításra
RuleActionPtzGoToPresetClause,ugrás a PTZ %2% előzetes beállítására itt: %1%
RuleActionPtzGoToHomeTitle,Ugrás a Kezdő előzetes beállításra
RuleActionPtzGoToHomeClause,PTZ ugrás a Kezdő előzetes beállításra: %1%
RuleActionPtzSetAuxTitle,Kiegészítő funkció beállítása
RuleActionPtzSetAuxClause,%2% PTZ kiegészítő funkció beállítása itt: %1%
RuleActionPtzRunPatternTitle,Minta futtatása
RuleActionPtzRunPatternClause,%2% PTZ-minta futtatása itt: %1%
RuleActionAlarmTriggerTitle,Riasztás indítása
RuleActionAlarmTriggerClause,%1% indítása
RuleActionAlarmAutoAckTitle,Riasztás automatikus nyugtázása
RuleActionAlarmAutoAckClause,%1% automatikus nyugtázása
RuleActionAlarmAckTitle,Riasztás nyugtázása
RuleActionAlarmAckClause,%1% nyugtázása
RuleActionPlaySoundTitle,Hang lejátszása
RuleActionPlaySoundClause,%1% hang lejátszása a következőhöz:
RuleActionTriggerDigitalOutputTitle,Digitális kimenet indítása
RuleActionTriggerDigitalOutputClause,%1% indítása
RuleActionCreateBookmarkTitle,Könyvjelző létrehozása
RuleActionCreateBookmarkClause,könyvjelző létrehozása a(z) %1% számára %2% védelemmel itt: %3%
RuleActionOpenViewTitle,Elmentett nézet megnyitása
RuleActionOpenViewClause,%1% megnyitása a következőhöz:
RuleActionMonitorOpenLiveStreamTitle,Élő adatfolyam indítása virtuális mátrix monitoron
RuleActionMonitorOpenLiveStreamClause,élő adatfolyam megjelenítése %2% számára a(z) %3% képpanelen itt: %1%
RuleActionMonitorOpenMapTitle,Térkép megnyitása virtuális mátrix monitoron
RuleActionMonitorOpenMapClause,%2% megnyitása %3% indexnél itt: %1%
RuleActionMonitorOpenWebTitle,Weboldal megnyitása virtuális mátrix monitoron
RuleActionMonitorOpenWebClause,%2% megnyitása %3% indexnél itt: %1%
RuleActionSendExternalNotificationTitle,Értesítés küldése a Központi felügyeleti állomásnak
RuleActionSendExternalNotificationClause,értesítés küldése a Központi felügyeleti állomásnak

EmailSetupTestEmail,Teszt-e-mail küldése
EmailSetupTestEmailDialogCaption,Teszt-e-mail elküldve
EmailSetupTestEmailDialogText,A rendszer épp most küldött el egy teszt-e-mailt. A kézbesítés sikerességét ellenőrizze minden egyes címzett beérkezett üzenetei között.
EmailSetupTestEmailFailedDialog,A teszt-e-mail sikertelen:\n\n%1%
EmailSetupTestEmailSubject,Avigilon Control Center: Teszt-e-mail
EmailSetupTestEmailText,Ez egy teszt-e-mail az Avigilon '%1%' kiszolgálójáról.

EmailSetupDefaultSubjectLine,Avigilon Control Center – Rendszeresemény

# Trigger strings

RuleTriggerDeviceCategory,Eszközesemények
RuleTriggerUserCategory,Felhasználói események
RuleTriggerAlarmCategory,Riasztási események
RuleTriggerServerCategory,Szerver események
RuleTriggerLprCategory,Rendszámtábla-felismerési események
RuleTriggerPointOfSaleCategory,POS-tranzakciós események

RuleTriggerDbRecoveredTitle,Adatbázishiba
RuleTriggerDbRecoveredClause,adatbázishiba történik
RuleTriggerDeviceLostTitle,Csatlakozási hiba
RuleTriggerDeviceLostClause,sikertelen a(z) %1% csatlakozása
RuleTriggerEmailErrorTitle,E-mail küldési hiba
RuleTriggerEmailErrorClause,e-mail-küldési hiba történik
RuleTriggerHardwareErrorTitle,Kiszolgálói hardveresemény
RuleTriggerHardwareErrorClause,kiszolgálói hardveresemény történik
RuleTriggerExternalPluginTitle,Kiszolgálói alkalmazástelepítési hiba
RuleTriggerExternalPluginClause,a kiszolgálói alkalmazásnál telepítési hiba történik
RuleTriggerFwUpgradeFailedTitle,A belső vezérlőprogram frissítése sikertelen
RuleTriggerFwUpgradeFailedClause,a belső vezérlőprogram frissítése sikertelen itt: %1%
RuleTriggerFwUpgradeStartTitle,A belső vezérlőprogram frissítése elindult
RuleTriggerFwUpgradeStartClause,a belső vezérlőprogram frissítése elindult itt: %1%
RuleTriggerFwUpgradeSuccessTitle,A belső vezérlőprogram frissítése befejeződött
RuleTriggerFwUpgradeSuccessClause,a belső vezérlőprogram frissítése befejeződött itt: %1%
RuleTriggerDigitalInputActivatedTitle,Digitális bemenet aktiválva
RuleTriggerDigitalInputActivatedClause,%1% aktiválva van
RuleTriggerDigitalInputDeactivatedTitle,Digitális bemenet inaktiválva
RuleTriggerDigitalInputDeactivatedClause,%1% inaktiválva van
RuleTriggerLicenseExpiredTitle,A licenc lejárt
RuleTriggerLicenseExpiredClause,a licenc lejárt
RuleTriggerLicenseExpirySoonTitle,A licenc hamarosan lejár
RuleTriggerLicenseExpirySoonClause,a licenc hamarosan le fog járni
RuleTriggerLicensePlateInSightTitle,A rendszámtábla-észlelés elindult
RuleTriggerLicensePlateInSightClause,%1% észlelhető itt: %2% legalább %3%%% megbízhatósággal
RuleTriggerLicensePlateMatchTitle,Egyezés a rendszámtábla-figyelő listán
RuleTriggerLicensePlateMatchClause,egyezés a rendszámtábla-figyelő listán
RuleTriggerLicensePlateMatchClause_v2,egyezés a rendszámtábla-figyelő listán itt: %1%
RuleTriggerLicensePlateOutOfSightTitle,A rendszámtábla-észlelés befejeződött
RuleTriggerLicensePlateOutOfSightClause,%1% észlelése befejeződik itt: %2% legalább %3%%% megbízhatósággal
RuleTriggerLowResourcesTitle,A kiszolgáló alkalmazásnak elfogynak az erőforrásai
RuleTriggerLowResourcesClause,a kiszolgáló alkalmazásnak elfogynak az erőforrásai
RuleTriggerAnalyticsStartedTitle,A videó analitika esemény elindult
RuleTriggerAnalyticsStartedClause,%1% elindult itt: %2%
RuleTriggerAnalyticsEndedTitle,A videó analitika esemény befejeződött
RuleTriggerAnalyticsEndedClause,%1% befejeződött itt: %2%
RuleTriggerTamperingTitle,Szabotázs érzékelhető
RuleTriggerTamperingClause,szabotázs érzékelhető itt: %1%
RuleTriggerMotionEndedTitle,A mozgásérzékelés befejeződött
RuleTriggerMotionEndedClause,ezentúl nem érzékelhető mozgás itt: %1%
RuleTriggerMotionStartedTitle,A mozgásérzékelés elindult
RuleTriggerMotionStartedClause,mozgás érzékelhető itt: %1%
RuleTriggerNetworkRemovedTitle,A hálózati kapcsolat megszakadt
RuleTriggerNetworkRemovedClause,a hálózati kapcsolat megszakadt
RuleTriggerObsoleteFirmwareTitle,Elavult belső vezérlőprogram észlelhető
RuleTriggerObsoleteFirmwareClause,elavult belső vezérlőprogram észlelhető itt: %1%
RuleTriggerRecordingInterruptedTitle,A rögzítés megszakadt
RuleTriggerRecordingInterruptedClause,a(z) %1% rögzítése megszakadt
RuleTriggerRecordingResumedTitle,A rögzítés folytatódik
RuleTriggerRecordingResumedClause,a(z) %1% rögzítése folytatódik
RuleTriggerServerStartTitle,A kiszolgáló alkalmazás elindul
RuleTriggerServerStartClause,a kiszolgáló alkalmazás elindul
RuleTriggerServerShutdownBadTitle,A kiszolgáló alkalmazás váratlanul megszakadt
RuleTriggerServerShutdownBadClause,a kiszolgáló alkalmazás váratlanul megszakadt
RuleTriggerServerShutdownNormalTitle,A kiszolgáló alkalmazás leáll
RuleTriggerServerShutdownNormalClause,a kiszolgáló alkalmazás leáll
RuleTriggerUserLoginTitle,Felhasználó bejelentkezése
RuleTriggerUserLoginClause,%1% bejelentkezett
RuleTriggerUserLogoutTitle,Felhasználó kijelentkezése
RuleTriggerUserLogoutClause,%1% kijelentkezett
RuleTriggerAlarmTriggeredTitle,Riasztás elindítva
RuleTriggerAlarmTriggeredClause,%1% el van indítva
RuleTriggerAlarmAcknowledgedTitle,Riasztás nyugtázva
RuleTriggerAlarmAcknowledgedClause,%1% nyugtázva van
RuleTriggerAlarmAcknowledgedDenyTitle,A Riasztás nyugtázva művelet megtagadva
RuleTriggerAlarmAcknowledgedDenyClause,A(z) %1% nyugtázva lett, és a művelet meg lett tagadva
RuleTriggerAlarmAcknowledgedGrantTitle,Riasztás nyugtázva
RuleTriggerAlarmAcknowledgedGrantClause,%1% nyugtázva van
RuleTriggerAlarmAutoAcknowledgedTitle,Riasztás automatikusan nyugtázva
RuleTriggerAlarmAutoAcknowledgedClause,%1% automatikusan nyugtázva van
RuleTriggerBackupEndedTitle,Archiválás befejeződött
RuleTriggerBackupEndedClause,az archiválás befejeződött
RuleTriggerBackupStartedTitle,Archiválás elindult
RuleTriggerBackupStartedClause,az archiválás elindult
RuleTriggerBackupFailedTitle,Archiválás sikertelen
RuleTriggerBackupFailedClause,az archiválás sikertelen
RuleTriggerTTxWatchItemMatchTitle,POS-tranzakciós kivétel
RuleTriggerTTxWatchItemMatchClause,%2% történik itt: %1%
RuleTriggerTTxTransactionStartedTitle,POS-tranzakció elindult
RuleTriggerTTxTransactionStartedClause,egy POS-tranzakció elindult itt: %1%
RuleTriggerTTxTransactionEndedTitle,POS-tranzakció befejeződött
RuleTriggerTTxTransactionEndedClause,egy POS-tranzakció befejeződött itt: %1%
RuleTriggerServerConnectionLostTitle,A kiszolgálói kapcsolat megszakadt
RuleTriggerServerConnectionLostClause,a kiszolgálóval létrehozott kapcsolat megszakadt

RuleTriggerAlarmAssignedTitle,Riasztás hozzárendelve
RuleTriggerAlarmAssignedClause,%1% hozzá lett rendelve
RuleTriggerAlarmPurgedTitle,Riasztás törölve
RuleTriggerAlarmPurgedClause,%1% törölve lett
RuleTriggerAlarmUnassignedTitle,Riasztás nincs hozzárendelve
RuleTriggerAlarmUnassignedClause,%1% hozzárendelése törölve lett
RuleTriggerDeviceConnectedTitle,Kapcsolat létrehozva
RuleTriggerDeviceConnectedClause,egy kapcsolat lett létrehozva a(z) %1% számára
RuleTriggerDeviceDisconnectedTitle,Kapcsolat eltávolítva
RuleTriggerDeviceDisconnectedClause,egy kapcsolat el lett távolítva a(z) %1% esetében
RuleTriggerDeviceRecoveredTitle,Kapcsolat helyreállítva
RuleTriggerDeviceRecoveredClause,egy kapcsolat helyre lett állítva a(z) %1% esetében
RuleTriggerFailoverStartedTitle,Kapcsolat létrehozva a készenléti kiszolgálóval
RuleTriggerFailoverStartedClause,egy kapcsolat lett létrehozva a készenléti kiszolgálóval a(z) %1% esetében
RuleTriggerFailoverStoppedTitle,Kapcsolat eltávolítva a készenléti kiszolgálóról
RuleTriggerFailoverStoppedClause,egy kapcsolat el lett távolítva a készenléti kiszolgálóról a(z) %1% esetében
RuleTriggerNetworkAddedTitle,Hálózati kapcsolat található
RuleTriggerNetworkAddedClause,a rendszer hálózati kapcsolatot talált
RuleTriggerNetworkErrorRecoveredTitle,Hálózati hiba megoldva
RuleTriggerNetworkErrorRecoveredClause,egy hálózati hiba megoldódott
RuleTriggerPacketsLostTitle,Hálózati csomag elvesztése elfogadhatatlan
RuleTriggerPacketsLostClause,a hálózati csomag elvesztése elfogadhatatlan a(z) %1% esetében 
RuleTriggerPacketsRecoveredTitle,Hálózati csomag elvesztése elfogadható
RuleTriggerPacketsRecoveredClause,a hálózati csomag elvesztése elfogadható a(z) %1% esetében
RuleTriggerRecordingEndedTitle,A rögzítés befejeződött
RuleTriggerRecordingEndedClause,a rögzítés befejeződött a(z) %1% esetében
RuleTriggerRecordingStartedTitle,A rögzítés elindult
RuleTriggerRecordingStartedClause,a rögzítés elindult a(z) %1% esetében
RuleTriggerStorageInitErrorTitle,Adatinicializálási hiba
RuleTriggerStorageInitErrorClause,az adatok inicializálása sikertelen
RuleTriggerStorageLowDiskSpaceTitle,A videó adattár mérete csökkent
RuleTriggerStorageLowDiskSpaceClause,a videó adattár mérete lecsökkent, mivel nincs elég szabad hely a lemezen
RuleTriggerStorageUpgradeEndedTitle,Adatfrissítés befejezve
RuleTriggerStorageUpgradeEndedClause,az adatok frissítése befejeződött
RuleTriggerStorageUpgradeFailedTitle,Adatfrissítés sikertelen
RuleTriggerStorageUpgradeFailedClause,az adatok frissítése sikertelen
RuleTriggerStorageUpgradeStartedTitle,Adatfrissítés elindítva
RuleTriggerStorageUpgradeStartedClause,az adatok frissítése elindult
RuleTriggerStorageRecoveryEndedTitle,Adat-helyreállítás befejezve
RuleTriggerStorageRecoveryEndedClause,az adatok helyreállítása befejeződött
RuleTriggerStorageRecoveryFailedTitle,Adat-helyreállítás sikertelen
RuleTriggerStorageRecoveryFailedClause,az adatok helyreállítása nem sikerült
RuleTriggerStorageRecoveryStartedTitle,Adat-helyreállítás elindítva
RuleTriggerStorageRecoveryStartedClause,az adatok helyreállítása elindult
RuleTriggerStorageWriteErrorTitle,Adatírási hiba
RuleTriggerStorageWriteErrorClause,adatírási hiba történt a(z) %1% esetében
RuleTriggerStorageVolumeFailedTitle,Videó adattár hibás
RuleTriggerStorageVolumeFailedClause,egy videó adattár hibás
RuleTriggerStorageVolumeRestoredTitle,Videó adattár helyreállítva
RuleTriggerStorageVolumeRestoredClause,egy videó adattár visszatért normál állapotba
RuleTriggerStorageBookmarkSaveFailedTitle,Könyvjelző mentése sikertelen
RuleTriggerStorageBookmarkSaveFailedClause,nem sikerült egy %1% által létrehozott könyvjelző mentése

RuleTriggerUserPtzActivatedTitle,PTZ áthelyezve
RuleTriggerUserPtzActivatedClause,%2% áthelyezte a következőhöz társított PTZ-t: %1%
RuleTriggerUserPtzIdleTitle,PTZ üresjárata
RuleTriggerUserPtzIdleClause,a(z) %2% által utoljára használt, a következőhöz társított PTZ üresjáratban van: %1%

RuleTriggerUserDeviceConnectedTitle,Eszköz csatlakoztatva
RuleTriggerUserDeviceConnectedClause,%2% csatlakoztatta a következőt: %1%
RuleTriggerUserDeviceDisconnectedTitle,Eszköz leválasztva
RuleTriggerUserDeviceDisconnectedClause,%2% leválasztotta a következőt: %1%

RuleTriggerUserServerSettingTitle,Kiszolgáló beállítása módosult
RuleTriggerUserServerSettingClause,%1% módosította a kiszolgáló beállítását
RuleTriggerUserSiteSettingTitle,Site beállítása módosult
RuleTriggerUserSiteSettingClause,%1% módosította a site beállítását
RuleTriggerUserDeviceSettingTitle,Eszköz beállítása módosult
RuleTriggerUserDeviceSettingClause,%2% módosította a beállítást a következőn: %1%

RuleTriggerUserBookmarkUpdateTitle,Könyvjelző frissítve
RuleTriggerUserBookmarkUpdateClause,%1% frissített egy könyvjelzőt
RuleTriggerUserBookmarkDeleteTitle,Könyvjelző törölve
RuleTriggerUserBookmarkDeleteClause,%1% törölt egy könyvjelzőt
RuleTriggerUserBookmarkAddTitle,Könyvjelző hozzáadva
RuleTriggerUserBookmarkAddClause,%1% hozzáadott egy könyvjelzőt

RuleTriggerUserExportTitle,Exportálás végrehajtva
RuleTriggerUserExportClause,%2% exportálást hajtott végre itt: %1%

RuleTriggerUserDigitalOutputTriggeredTitle,Digitális kimenet elindítva
RuleTriggerUserDigitalOutputTriggeredClause,%2% elindította a következőt: %1%

RuleTriggerUserSpeakerActivatedTitle,Hangszóró aktiválva
RuleTriggerUserSpeakerActivatedClause,%2% aktiválta a következőt: %1%
RuleTriggerUserSpeakerDeactivatedTitle,Hangszóró inaktiválva
RuleTriggerUserSpeakerDeactivatedClause,%2% inaktiválta a következőt: %1%

RuleTriggerUserVirtualMatrixMonitorOpenedTitle,Virtuális mátrix monitor megnyitva
RuleTriggerUserVirtualMatrixMonitorOpenedClause,A Virtuális mátrix alkalmazás a(z) %2% segítségével megnyitja a következőt: %1%

RuleTriggerUserSavedViewCreateTitle,Nézet hozzáadva
RuleTriggerUserSavedViewCreateClause,%1% hozzáadott egy nézetet
RuleTriggerUserSavedViewModifyTitle,Nézet frissítve
RuleTriggerUserSavedViewModifyClause,%2% frissítette a következőt: %1%
RuleTriggerUserSavedViewDeleteTitle,Nézet törölve
RuleTriggerUserSavedViewDeleteClause,%2% törölte a következőt: %1%

RuleTriggerUserMapCreateTitle,Térkép hozzáadva
RuleTriggerUserMapCreateClause,%1% hozzáadott egy térképet
RuleTriggerUserMapModifyTitle,Térkép frissítve
RuleTriggerUserMapModifyClause,%2% frissítette a következőt: %1%
RuleTriggerUserMapDeleteTitle,Térkép törölve
RuleTriggerUserMapDeleteClause,%2% törölte a következőt: %1%

RuleTriggerUserWebLinkCreateTitle,Weboldal hozzáadva
RuleTriggerUserWebLinkCreateClause,%1% hozzáadott egy weboldalt
RuleTriggerUserWebLinkModifyTitle,Weboldal frissítve
RuleTriggerUserWebLinkModifyClause,%2% frissítette a következőt: %1%
RuleTriggerUserWebLinkDeleteTitle,Weboldal törölve
