#
#  2016-09-13
#  String Localization Table
#
#  This file has two comma-separated columns, the first column is the string
#  key, the second is the localized value.
#
#  This file MUST be UTF-8 encoded, and must only be edited by text editors
#  that are capable of editing UTF-8 text files.  The following editors have
#  been confirmed as working properly:
#
#    Visual Studio
#    SciTE
#
#  The following text editors DO NOT WORK, do not use them or you will
#  destroy this file:
#
#    XEmacs
#    EditPlus
#
 
#################################################
# Strings for use in GUI
#################################################

CloseButtonText,Lukk
GroupPermissionSetupServerLPR,Konfigurer LPR-innstillinger
GroupPermissionSetupServerEmail,Konfigurer innstillinger for ekstern varsling
GroupPermissionSetupServerRules,Konfigurer innstillinger for regelmotor
GroupPermissionSetupServerSystemLog,Vis stedslogger
GroupPermissionSetupConnectCamera,Koble til og koble fra kameraer
GroupPermissionManageVirtualMatrixViews,Administrer virtuell matrise-monitorer
GroupPermissionManageUserSessions,Administrer brukerøkter
GroupPermissionInitiateCollaborationSession,Starte samhandlingsøkter
GroupPermissionManageMaps,Administrer kart
GroupPermissionManageWebLinks,Administrer nettsider
GroupPermissionBackupSettings,Innstillinger for sikkerhetskopiering
GroupPermissionViewServerStatus,Vis stedstilstand
GroupPermissionSetupRankHierarchy,Sett opp bedriftshierarki

GroupDevicesLabel,Tilgangsrettigheter:
AddGroupFormTitle,Legg til gruppe
AddGroupFormLabel,Kopier tillatelser fra gruppe:
AddGroupName,Ny gruppe

GroupEditMembersAddUser,Legg til bruker...
GroupEditMembersRemoveUser,Fjern bruker

GroupEditMembersAddUserNoUsers,Ingen tilgjengelige brukere å legge til denne gruppen
GroupEditSiteViewSelectedWarning,Hvis du angir Vise-tillatelsen for oppsettsted, får gruppen tilgang til alle enheter på stedet. Fortsette?
GroupdEditSiteViewSelectedMessage,Tilgangsrettigheter kan ikke endres mens gruppen har rettigheten "Konfigurere stedsvisning".

GroupAdministratorDefaultName,Administratorer
GroupPowerUserDefaultName,Superbrukere
GroupStandardUserDefaultName,Standardbrukere
GroupRestrictedUserDefaultName,Begrensede brukere
GroupWebUserDefaultName,Web-brukere

UserAdminADTabText,Active Directory
UserAdminADAddGroupButton,Legg til gruppe...
UserAdminADDeleteGroupButton,Slett gruppe
UserAdminADChangeUserButton,Endre...
UserAdminADUserGroupBoxLabel,Active Directory-synkronisering
UserAdminADDisabledLabel,Active Directory-synkronisering er deaktivert
UserAdminADDomainUserLabel,Domenebruker:
UserAdminADGroupListLabel,Active Directory-grupper:

UserAdminADUserDialogTitle,Konfigurer Active Directory
UserAdminADUUserDialogEnabledLabel,Aktiver Active Directory-synkronisering
UserAdminADUserDialogDomainLabel,Domene:
UserAdminADUserDialogUsernameLabel,Bruker:
UserAdminADUserDialogPasswordLabel,Passord:
UserAdminADUserDialogUsernameMissing,Det må oppgis brukernavn.

UserAdminGroupsToApply,Velg grupper:
UserAdminSelectSitesApplyTo,Bruk på steder:
ApplyingGroupsAndPermissionsLabel,Tar i bruk grupper...

UserMgmtDeleteUserConfirm,Er du sikker på at du vil slette brukeren %1%?
UserMgmtDeleteGroupConfirm,Er du sikker på at du vil slette gruppen %1%?

#################################################
# Alarms Setup Strings
#################################################

AlarmMgmtSetupTitle,Alarmer
AlarmMgmtListLabel,Alarmer:
AlarmMgmtAddLabel,Legg til
AlarmMgmtRemoveLabel,Slett
AlarmMgmtEditLabel,Rediger

AlarmMgmtLoadingLabel,Laster...

AlarmMgmtDefaultAlarmName,Ny alarm

AlarmMgmtPriorityLabel,Alarmprioritet: %1%
AlarmMgmtEnabledLabel,Alarm er aktivert
AlarmMgmtDisabledLabel,Alarm er deaktivert
AlarmMgmtScheduleLabel,Alarmtidsplan er "%1%"

AlarmMgmtTriggerMotion,Alarm utløses når bevegelse oppdages på kamera %1%
AlarmMgmtTriggerMotionPlural,Alarm utløses når bevegelse oppdages på kameraene %1%
AlarmMgmtTriggerAnalytics,Alarm utløses når videoanalysehendelse startes på kamera %1%
AlarmMgmtTriggerAnalyticsPlural,Alarm utløses når videoanalysehendelse startes på kameraer %1%
AlarmMgmtTriggerDigitalInput,Alarm utløses når digital inngang %1% aktiveres
AlarmMgmtTriggerDigitalInputPlural,Alarm utløses når digitale innganger %1% aktiveres
AlarmMgmtTriggerPosException,Alarm utløses når unntak oppstår på POS-transaksjonskilde %1%
AlarmMgmtTriggerPosExceptionPlural,Alarm utløses når unntak oppstår på POS-transaksjonskilder %1%
AlarmMgmtTriggerDeviceError,Alarm utløses når det oppstår en feil på kamera %1%
AlarmMgmtTriggerDeviceErrorPlural,Alarm utløses når det oppstår en feil på kameraene %1%
AlarmMgmtTriggerSystemError,Alarm utløses når det oppstår en systemfeil
AlarmMgmtTriggerNull,Alarm utløses ved en ekstern programvarehendelse
AlarmMgmtTriggerLprMatch,Alarm utløses ved treff i observasjonsliste for nummerskilt

AlarmMgmtAutoAckMotion,Alarm kvitteres automatisk når bevegelse stopper
AlarmMgmtAutoAckAnalytics,Alarm kvitteres automatisk når videoanalysehendelse stopper
AlarmMgmtAutoAckDigitalInput,Alarm kvitteres automatisk når digital inngang deaktiveres

AlarmMgmtCamerasRecordLabel,Alarm er koblet til kamera %1%
AlarmMgmtCamerasRecordPluralLabel,Alarm er koblet til kameraer %1%
AlarmMgmtCamerasRecordViewLabel,Alarm er koblet til kamera %1%
AlarmMgmtCamerasRecordViewPluralLabel,Alarm er koblet til kameraer %1%
AlarmMgmtUsersLabel,Alarmmottaker er %1%
AlarmMgmtUsersPluralLabel,Alarmmottakere er %1%
AlarmMgmtSoundLabel,Spill av lyd "%1%" når alarm utløses.

AlarmMgmtAckDigitalOutputLabel,Ved kvittering, aktiver digital utgang %1%.
AlarmMgmtAckDigitalOutputPluralLabel,Ved kvittering, aktiver digitale utganger %1%.
AlarmMgmtAckDigitalOutputGrantDenyLabel,Ved kvittering, aktiver digital utgang %1%.  Bekreftelse fra bruker kreves.
AlarmMgmtAckDigitalOutputGrantDenyPluralLabel,Ved kvittering, aktiver digitale utganger %1%.  Bekreftelse fra bruker kreves.

# Alarm wizard strings
AlarmWizardTitle,Legg til alarm

# Alarm general pane strings
AlarmWizardGeneralTitle,Velg alarmegenskaper
AlarmWizardGeneralNameLabel,Navn:
AlarmWizardGeneralNameEmptyError,Det må være et alarmnavn.
AlarmWizardGeneralPriorityLabel,Prioritet:
AlarmWizardGeneralEnabledLabel,Aktiver alarm
AlarmWizardGeneralScheduleLabel,Tidsplan:

# Alarm trigger pane strings
AlarmWizardTriggerTitle,Velg alarmutløserkilde
AlarmWizardTriggerTypeLabel,Alarmutløserkilde:
AlarmWizardTriggerMotion,Bevegelsesdeteksjon
AlarmWizardTriggerAnalytics,Videoanalysehendelse
AlarmWizardTriggerDigitalInput,Aktivering av digital inngang
AlarmWizardTriggerLprMatch,Treff i observasjonsliste for nummerskilt
AlarmWizardTriggerPosException,POS-transaksjonsunntak
AlarmWizardTriggerDeviceError,Kamerafeil
AlarmWizardTriggerSystemError,Systemfeil
AlarmWizardTriggerNull,Ekstern programvarehendelse
AlarmWizardTriggerAutoAckMotion,Kvitter automatisk for alarm når bevegelse stopper
AlarmWizardTriggerAutoAckAnalytics,Kvitter automatisk for alarm når videoanalysehendelse stopper
AlarmWizardTriggerAutoAckDigitalInput,Kvitter automatisk for alarm når digital inngang deaktiveres
AlarmWizardTriggerAutoAckTrigger,Kvitter automatisk for alarm umiddelbart etter at den aktiveres

# Alarm linked cameras pane strings
AlarmWizardCamerasTitle,Velg koblede kameraer
AlarmWizardCamerasLabel,Velg kamera(er) som skal kobles til denne alarmen:
AlarmWizardCamerasViewLabel,Vis koblede kameraer når alarm utløses
AlarmWizardCamerasPreBufferPreLabel,Opptakstid før alarm:
AlarmWizardCamerasPostBufferPreLabel,Opptakstid etter alarm:
AlarmWizardCamerasMaxRecordPreLabel,Opptaksvarighet:

# Alarm users pane strings
AlarmWizardUsersTitle,Velg alarmmottakere
AlarmWizardUsersLabel,Velg brukerne som skal varsles når denne alarmen utløses:
AlarmWizardUsersAudio,Spill av lyd når alarm utløses:

# Alarm recipients pane strings
AlarmRecipientsSetupPageUserName,Bruker/gruppe
AlarmRecipientsSetupPageFirstName,Fornavn
AlarmRecipientsSetupPageLastName,Etternavn
AlarmRecipientsSetupPageTimeDelay,Ventetid
AlarmRecipientsAddRecipientButtonText,Legg til mottakere...
AlarmRecipientsRemoveRecipientsButtonText,Fjern mottakere
AlarmRecipientsSetupPageMinutesLabel,m
AlarmRecipientsSetupPageHoursLabel,t

# Alarm acknowledge pane strings
AlarmWizardAckTitle,Velg alarmkvitteringshandling
AlarmWizardAckRequireTextOnAck,Krev en kommentar ved kvittering for alarm
AlarmWizardAckDigitalOutputLabel,Aktiver valgte digitale utganger ved alarmkvittering
AlarmWizardAckGrantDenyLabel,Krev bekreftelse fra bruker før digitale utganger aktiveres

AlarmDeleteAutoAckNote,Denne alarmen ble kvittert for fordi den blir slettet
AlarmShutdownAutoAckNote,Denne alarmen ble kvittert for fordi systemet blir slått av

#################################################
# User Selector Setup Strings
#################################################

UserSelectorUsersTitle,Velg brukere
UserSelectorUserName,Bruker/gruppe
UserSelectorFirstName,Fornavn
UserSelectorLastName,Etternavn
UserSelectorAddButtonText,Legg til
UserSelectorCancelButtonText,Avbryt
UserSelectorSelected,Velg

#################################################
# Scheduled Backup Setup Strings
#################################################

BackupSetupPageText,Planlagt arkivering
BackupSetupPageEnabledLabel,Aktiver planlagt arkivering
BackupSetupPageDevicesLabel,Kamera(er) som skal arkiveres:
BackupSetupPageOptionsLabel,Alternativer for arkivering:
BackupSetupPagePeriodLabel,Utfør hver:
BackupSetupPagePeriodPostLabel, dag
BackupSetupPageExecuteTimeLabel,Starttid:
BackupSetupPageDurationLabel,Dekning:
BackupSetupPageDurationPostLabel, dag
BackupSetupPageStartDateLabel,Starter fra:
BackupSetupPageStartDatePostLabel, dag(er) siden
BackupSetupPageStatusLabel,Status
BackupSetupPageStatusIdle,Uvirksom
BackupSetupPageStatusRunning,Arkiverer (%1%%% gjort)
BackupSetupPageLastBackupLabel,Siste arkivering:
BackupSetupPageNextBackupLabel,Neste arkivering:
BackupSetupPageInvalidBackupLabel,<Ingen>
BackupSetupPageDeleteOldestLabel,Slett de eldste arkivene når disken er full
BackupDisabledMessage,Arkivering på server "%1%" er deaktivert.\n\nArkivering kan aktiveres i Avigilon Control Center Admin Tool\neller gjennom ACC ES-nettgrensesnittet.
BackupAllServersDisabledMessage,Arkivering er deaktivert på alle servere.\n\nArkivering kan aktiveres i Avigilon Control Center Admin Tool\neller gjennom ACC ES-nettgrensesnittet.


#################################################
# Email Server Setup Strings
#################################################

ExternalNotificationSetupText,Eksterne varsler
EmailSetupText,E-postvarsler
EmailSetupSmtpTabTitle,E-postserver
EmailSetupSmtpGroupBoxTitle,Innstillinger for e-postserver:
GeneralServerSetupSmtpSenderName,Avsendernavn:
GeneralServerSetupSmtpSenderAddress,Avsenders e-postadresse:
GeneralServerSetupEmailSubject,Emnelinje:
GeneralServerSetupSmtpAddress,SMTP-server:
GeneralServerSetupSmtpPort,Port:
GeneralServerSetupSmtpTimeout,Tidsavbrudd (sekunder):
EmailSetupSmtpAuthGroupBoxTitle,Sikkerhet og godkjenning:
GeneralServerSetupSmtpAuthentication,Server krever godkjenning
GeneralServerSetupSmtpSsl,Bruk sikker tilkobling (TLS/SSL)
GeneralServerSetupSmtpUsername,Brukernavn:
GeneralServerSetupSmtpPassword,Passord:

EmailSetupNotificationTabTitle,E-postvarsler
EmailSetupRuleListLabel,E-postgrupper:
EmailSetupRuleNameLabel,Navn på e-postgruppe:
EmailSetupRuleAddLabel,Legg til
EmailSetupRuleRemoveLabel,Fjern
EmailSetupDefaultRuleName,Ny e-postgruppe

EmailSetupMaxGroupsError,Maksimalt %1% e-postgrupper kan opprettes.

EmailSetupMaxAddressesError,Maksimalt %1% e-postadresser kan legges til.
EmailSetupAddedTooManyAddressesError,Ikke alle brukere og grupper kunne legges til.\nMaksimalt %1% e-postadresser kan legges til.

EmailSetupIntervalLabel,Send e-post opptil hver:

EmailSetupAddressGroupBox,E-postmottakere:
EmailSetupAddAddressLabel,Legg til e-post...
EmailSetupAddAddressFormLabel,E-postadresse:
EmailSetupAddUserGroupLabel,Legg til bruker/gruppe...
EmailSetupRemoveLabel,Fjern
EmailSetupInvalidEmailError,E-postadressen er ugyldig.

EmailSetupTriggerGroupBox,E-postutløser:
EmailSetupTriggerSystemEvent,Systemhendelse
EmailSetupTriggerMotion,Bevegelse detektert på %1%
EmailSetupTriggerMotionAll,hvilket som helst kamera
EmailSetupTriggerMotionSome,valgte kameraer
EmailSetupTriggerDigitalInput,Digital inngang aktivert på %1%
EmailSetupTriggerDigitalInputAll,hvilken som helst digital inngang
EmailSetupTriggerDigitalInputSome,valgte digitale innganger
EmailSetupTriggerPOSException,POS-transaksjonsunntak på %1%
EmailSetupTriggerPOSExceptionAll,hvilken som helst transaksjonskilde
EmailSetupTriggerPOSExceptionSome,valgte transaksjonskilder

EmailSetupRuleActionGroupBox,E-postinnstillinger:

EmailSetupAttachImagesLabel,Legg ved bilder fra kamera(er) som er koblet til hendelsen

EmailSetupScheduleGroupBox,Tidsplan for e-post:

EmailSetupNoNameError,Du må velge et navn for denne e-postgruppen.
EmailSetupNoTriggerError,Du må velge minst én e-postutløser\nfor e-postgruppe "%1%".
EmailSetupNoAddressError,Du må legge til minst én e-postadresse for\ne-postgruppe "%1%".

EmailAttachmentImageTooLarge,Kunne ikke legge ved bilde fra kameraet "%1%" for hendelse på %2% fordi meldingen overskred maksimumsstørrelsen.\n\n
EmailAttachmentImageError,Kunne ikke legge ved bilde fra kameraet "%1%" for hendelse på %2% fordi det oppstod en feil ved henting av bildet: %3%\n\n
EmailAttachmentImageRemote,Kunne ikke legge ved bilde fra kameraet "%1%" for hendelse på %2% fordi den eksterne serveren ikke sørget for noe bilde.\n\n
EmailAttachmentImageFailed,Fikk ikke hentet bilde fra "%1%" for hendelse på %2%.\n\n
EmailAttachmentVideoTooLarge,Video fra kameraet "%1%" for hendelse på %2% kunne ikke legges ved fordi meldingen overskred maksimumsstørrelsen.\n\n
EmailAttachmentVideoTooShort,Kunne ikke legge ved video fra kameraet "%1%" for hendelse på %2% fordi videoklippet er for kort.\n\n
EmailAttachmentEncodingNotSupported,Kunne ikke legge ved video fra kameraet "%1%" for hendelse på %2% fordi kodingen ikke støttes.\n\n

CentralMonitoringTabTitle,Sentralstasjonovervåking
CentralMonitoringLabel,Sentralstasjonvarsling
CentralMonitoringEnableLabel,Aktiver sentralstasjonovervåking
CentralMonitoringHeartbeatIntervalLabel,Minste hjerterytmemeintervall:
CentralMonitoringHeartbeatDisabledLabel,Deaktivert
CentralMonitoringSystemLabel,Sentralt overvåkingssystem:
CentralMonitoringOptionsHeader,Alternativer

CentralMonitoringSendTestMessageLabel,Send testmelding
CentralMonitoringTestMessageDialogCaption,Testmelding sendt
CentralMonitoringTestMessageDialogText,En testmelding er sendt fra server %1%.
CentralMonitoringTestMessageFailedDialog,Sending av testmelding mislyktes.

CentralMonitoringMaxPeriod1Hr,1 time
CentralMonitoringMaxPeriod2Hr,2 timer
CentralMonitoringMaxPeriod6Hr,6 timer
CentralMonitoringMaxPeriod12Hr,12 timer
CentralMonitoringMaxPeriod1Day,1 dag
CentralMonitoringMaxPeriod2Day,2 dager

GenericXmlEmailLabel,XML-e-post
GenericXmlCfgName,Avsendernavn:
GenericXmlCfgEmail,Avsenders e-postadresse:
GenericXmlCfgServer,SMTP-server:
GenericXmlCfgPort,Port:
GenericXmlCfgTimeout,Tidsavbrudd (sekunder):
GenericXmlCfgAuthentication,Server krever godkjenning
GenericXmlCfgSsl,Bruk sikker tilkobling (TLS/SSL)
GenericXmlCfgAuthUsername,Brukernavn:
GenericXmlCfgAuthPassword,Passord:
GenericXmlCfgRecipientAddress,Mottakers e-postadresse:
GenericXmlCfgInvalidEmailAddress,Mottakers e-postadresse og avsenders e-postadresse er påkrevd.
GenericXmlCfgInvalidServerSettings,Server og portnummer er påkrevd.
GenericXmlCfgInvalidSenderName,Avsendernavn kreves.
GenericXmlCfgInvalidPort,Portnummer må være mellom 1 og 65535.
GenericXmlCfgEmptyHeartbeatError,Maksperiode kreves.
CentralMonitoringHeartbeatAttachment,Vedlegg:
GenericXmlCfgAttachImage,Bilde ved enhetshendelser
GenericXmlCfgAttachClip,Videoklipp ved enhetshendelser
GenericXmlCfgNoAttachment,Ingen

#################################################
# User Tree Dialog
#################################################
UserTreeDialogLabel,Brukere/grupper som skal legges til:
UserTreeDialogLabelUserOnly,Brukere som skal legges til:

#################################################
# Rule Setup strings
#################################################

RuleMgmtSetupTitle,Regler
RuleMgmtAddText,Legg til
RuleMgmtRemoveText,Slett
RuleMgmtEditText,Rediger
RuleMgmtFirstTrigger,Når %1%,
RuleMgmtOtherTrigger,eller %1%,
RuleMgmtFirstAction,%1%,
RuleMgmtOtherAction,og %1%,
RuleMgmtFirstCondition,bare hvis %1%
RuleMgmtOtherCondition,og %1%,
RuleMgmtConditionConjunctive, og 
RuleMgmtRuleListTitle,Regler:
RuleMgmtResetDefaultsWarningText,Dette vil slette alle eksisterende regler og opprette standardregelen fra fabrikk.\n\nEr du sikker på at du vil fortsette?
RuleMgmtRuleLimitErrorText,Maksimalt antall regler er nådd.
RuleMgmtRemoveWarningText,Er du sikker på at du vil slette regel "%1%"?
RuleMgmtGlobText,opptil hvert %1% minutt
RuleMgmtStopText,i %1%m %2%s
RuleMgmtStopTextIndefinitely,ubegrenset
RuleMgmtClientBoundText,%1%
RuleMgmtClientBoundAllClients,alle brukere
RuleMgmtActiveScheduleAllDay,Regel er alltid aktiv.
RuleMgmtActiveSchedulePartOfDay,Regel er aktiv fra %1% til %2%.
RuleMgmtGlobParamsTitle,Velg maksimal hyppighet
RuleMgmtGlobParamsIntervalLabel,Handle opptil hvert:
RuleMgmtRuleEnabledLabel,Regel er aktivert
RuleMgmtRuleDiabledLabel,Regel er deaktivert
RuleMgmtStopParamsTitle,Velg maksimal varighet
RuleMgmtStopParamsIntervalLabel,Stopp handling etter:
RuleMgmtStopParamsNoTimeLimit,Tillat å kjøre ubegrenset
RuleMgmtActionNoExplicitDevicesSelected,Det er ingen kameraer som er koblet til hendelsene for denne regelen.\n\nDu må eksplisitt angi et kamera som det skal handles på.
RuleMgmtActionTriggerTypeConflict,En tidligere definert handling er i konflikt med én eller flere utløsere. Konflikthandlingen vil bli slettet fra regelen.
RuleMgmtActionEmptyEmailParam,Du har angitt en e-posthandling uten noen mottakere. Angi én eller flere e-postmottakere.
RuleMgmtActionEmptyDigitalInputParam,Du har lagt til en handling som krever en digital utgang. Angi én eller flere digitale utganger.
RuleMgmtActionEmptyAlarmParam,Du har lagt til en handling som krever en alarm. Angi én eller flere alarmer.
RuleMgmtActionEmptyAlarmAckParam,Du har lagt til en handling som krever en alarmkvittering. Angi en alarmkvitteringstype.
RuleMgmtValidateFormTitle,Regelvalidering
RuleMgmtValidationValid,Den valgte regelen er gyldig
RuleMgmtScheduleLabel,Regeltidsplan er "%1%"
RuleMgmtActionEmptyObjectAckParam,Regelhandlingen inkluderer en ugyldig eller manglende parameter. Se gjennom handlingsparameterne.
RuleMgmtLicenseError,Lisensovertredelse

# Wizard strings
RuleWizardTitle,Regeloppsett
RuleWizardTypePaneTitle,Velg regeltype
RuleWizardTypePaneCaption,Velg når denne regelen skal være aktiv.
RuleWizardTypePaneTriggeredCaption,Kjør denne regelen når det oppstår en hendelse.
RuleWizardTypePaneScheduledCaption,Kjør denne regelen på et bestemt tidspunkt.
RuleWizardSchedulePaneTitle,Velg tidsplan for regel
RuleWizardSchedulePaneCaption,Velg når denne regelen er aktiv
RuleWizardTriggerPaneTitle,Velg regelhendelse(r)
RuleWizardTriggerPaneCaption,Velg hendelsen(e) som skal utløse regelhandlingen
RuleWizardActionPaneTitle,Velg regelhandling(er)
RuleWizardActionPaneCaption,Velg handlingen(e) for regelen
RuleWizardConditionsPaneTitle,Velg regelbetingelse(r)
RuleWizardConditionsPaneCaption,Velg betingelsen(e) som må være oppfylt for at denne regelen skal kjøre
RuleWizardActiveSchedulePaneTitle,Velg regelvarighet
RuleWizardActiveSchedulePaneCaption,Velg når denne regelen skal være aktiv.
RuleWizardActiveScheduleAllDayText,Hele dagen
RuleWizardActiveSchedulePartOfDayText,På følgende tider:
RuleWizardActiveScheduleStartText,Starttid:
RuleWizardActiveScheduleEndText,Sluttid:
RuleWizardSettingsPaneTitle,Velg regelegenskaper
RuleWizardSettingsNameLabel,Regelnavn:
RuleWizardSettingsDescriptionLabel,Regelbeskrivelse:
RuleWizardSettingsEnabledLabel,Regel er aktivert
RuleWizardSettingsSchedulesLabel,Tidsplan:

# Action strings
RuleActionUserNotificationCategory,Brukervarslingshandlinger
RuleActionMonitoringCategory,Overvåkingshandlinger
RuleActionRecordingCategory,Opptakshandlinger
RuleActionApplicationCategory,Programhandlinger
RuleActionDeviceCategory,Enhetshandlinger
RuleActionPTZCategory,PTZ-handlinger
RuleActionAlarmCategory,Alarmhandlinger

RuleActionMsgUsersTitle,Vis melding på skjermen
RuleActionMsgUsersClause,vis en melding på skjermen for
RuleActionMsgUsersClause_v2,vis en %1% på skjermen for
RuleActionOpenLiveStreamTitle,Start direktestrømming
RuleActionOpenLiveStreamClause,start en direktestrøm på %1% for
RuleActionRecordDeviceTitle,Ta opp på kameraer
RuleActionRecordDeviceClause,ta opp på %1%
RuleActionRestartServiceTitle,Omstart Avigilon Control Center
RuleActionRestartServiceClause,omstart Avigilon Control Center
RuleActionRebootDeviceTitle,Omstart kamera
RuleActionRebootDeviceClause,omstart %1%
RuleActionSendEmailTitle,Send e-post
RuleActionSendEmailClause,send en e-postmelding til %1%
RuleActionSendEmailClause_v2,send en e-postmelding %2% med %3% til %1%
RuleActionPulseDigitalOutputTitle,Pulser digital utgang
RuleActionPulseDigitalOutputClause,pulser %1% %2%
RuleActionSetDigitalOutputTitle,Aktiver digital utgang
RuleActionSetDigitalOutputClause,aktiver %1%
RuleActionPtzClearAuxTitle,Tøm Auxiliary
RuleActionPtzClearAuxClause,tøm PTZ-auxiliary %2% på %1%
RuleActionPtzGoToPresetTitle,Gå til forhåndsinnstilling
RuleActionPtzGoToPresetClause,gå til PTZ-forhåndsinnstilling %2% på %1%
RuleActionPtzGoToHomeTitle,Gå til Startforhåndsinnstilling
RuleActionPtzGoToHomeClause,gå til PTZ-startforhåndsinnstilling på %1%
RuleActionPtzSetAuxTitle,Angi auxiliary
RuleActionPtzSetAuxClause,angi PTZ-auxiliary %2% på %1%
RuleActionPtzRunPatternTitle,Kjør et mønster
RuleActionPtzRunPatternClause,kjør PTZ-mønster %2% på %1%
RuleActionAlarmTriggerTitle,Utløs en alarm
RuleActionAlarmTriggerClause,utløs %1%
RuleActionAlarmAutoAckTitle,Kvitter automatisk for en alarm
RuleActionAlarmAutoAckClause,kvitter automatisk for %1%
RuleActionAlarmAckTitle,Kvitter for en alarm
RuleActionAlarmAckClause,kvitter for %1%
RuleActionPlaySoundTitle,Spill av en lyd
RuleActionPlaySoundClause,spill av lyden %1% for
RuleActionTriggerDigitalOutputTitle,Utløs digital utgang
RuleActionTriggerDigitalOutputClause,utløs %1%
RuleActionCreateBookmarkTitle,Opprett bokmerke
RuleActionCreateBookmarkClause,opprett bokmerke for %1% med beskyttelse %2% på %3%
RuleActionOpenViewTitle,Åpne en lagret visning
RuleActionOpenViewClause,åpne %1% for
RuleActionMonitorOpenLiveStreamTitle,Start direktestrømming på en virtuell matrise-monitor
RuleActionMonitorOpenLiveStreamClause,vis en direktestrøm for %2% på bildepanel %3% på %1%
RuleActionMonitorOpenMapTitle,Åpne et kart på en virtuell matrise-monitor
RuleActionMonitorOpenMapClause,åpne %2% ved indeks %3% på %1%
RuleActionMonitorOpenWebTitle,Åpne en nettside på en virtuell matrise-monitor
RuleActionMonitorOpenWebClause,åpne %2% ved indeks %3% på %1%
RuleActionSendExternalNotificationTitle,Send varsel til sentral overvåkingsstasjon
RuleActionSendExternalNotificationClause,send et varsel til sentral overvåkingsstasjon

EmailSetupTestEmail,Send test-e-postmelding
EmailSetupTestEmailDialogCaption,Testmelding sendt
EmailSetupTestEmailDialogText,En testmelding ble akkurat sendt. Sjekk innkurven til hver mottaker for å bekrefte vellykket levering.
EmailSetupTestEmailFailedDialog,Testmelding mislyktes:\n\n%1%
EmailSetupTestEmailSubject,Avigilon Control Center: Testmelding
EmailSetupTestEmailText,Dette er en testmelding fra Avigilon-server "%1%".

EmailSetupDefaultSubjectLine,Avigilon Control Center-systemhendelse

# Trigger strings

RuleTriggerDeviceCategory,Enhetshendelser
RuleTriggerUserCategory,Brukerhendelser
RuleTriggerAlarmCategory,Alarmhendelser
RuleTriggerServerCategory,Serverhendelser
RuleTriggerLprCategory,Gjenkjennelseshendelser for nummerskilt
RuleTriggerPointOfSaleCategory,POS-transaksjonshendelser

RuleTriggerDbRecoveredTitle,Databasefeil
RuleTriggerDbRecoveredClause,en databasefeil oppstår
RuleTriggerDeviceLostTitle,Tilkoblingsfeil
RuleTriggerDeviceLostClause,en tilkobling har sviktet for %1%
RuleTriggerEmailErrorTitle,Sendefeil for e-post
RuleTriggerEmailErrorClause,det oppstår en feil ved sending av e-post
RuleTriggerHardwareErrorTitle,Servermaskinvarehendelse
RuleTriggerHardwareErrorClause,det oppstår en hendelse med servermaskinvaren
RuleTriggerExternalPluginTitle,Installeringsfeil for serverprogrammet
RuleTriggerExternalPluginClause,serverprogrammet har en installeringsfeil
RuleTriggerFwUpgradeFailedTitle,Fastvareoppgradering mislyktes
RuleTriggerFwUpgradeFailedClause,en fastvareoppgradering mislyktes på %1%
RuleTriggerFwUpgradeStartTitle,Fastvareoppgradering startet
RuleTriggerFwUpgradeStartClause,en fastvareoppgradering startet på %1%
RuleTriggerFwUpgradeSuccessTitle,Fastvareoppgradering fullført
RuleTriggerFwUpgradeSuccessClause,en fastvareoppgradering ble fullført på %1%
RuleTriggerDigitalInputActivatedTitle,Digital inngang aktivert
RuleTriggerDigitalInputActivatedClause,%1% er aktivert
RuleTriggerDigitalInputDeactivatedTitle,Digital inngang deaktivert
RuleTriggerDigitalInputDeactivatedClause,%1% er deaktivert
RuleTriggerLicenseExpiredTitle,Lisens utløpt
RuleTriggerLicenseExpiredClause,lisensen er utløpt
RuleTriggerLicenseExpirySoonTitle,Lisens utløper snart
RuleTriggerLicenseExpirySoonClause,lisensen vil utløpe snart
RuleTriggerLicensePlateInSightTitle,Nummerskiltdeteksjon startet
RuleTriggerLicensePlateInSightClause,%1% er oppdaget på %2% med sikkerhet på minst %3%%%
RuleTriggerLicensePlateMatchTitle,Treff i observasjonsliste for nummerskilt
RuleTriggerLicensePlateMatchClause,det oppstår et treff i observasjonsliste for nummerskilt
RuleTriggerLicensePlateMatchClause_v2,det oppstår et treff i observasjonsliste for nummerskilt på %1%
RuleTriggerLicensePlateOutOfSightTitle,Nummerskiltdeteksjon avsluttet
RuleTriggerLicensePlateOutOfSightClause,%1% deteksjon avsluttes på %2% med sikkerhet på minst %3%%%
RuleTriggerLowResourcesTitle,Serverprogram har lite ressurser
RuleTriggerLowResourcesClause,serverprogrammet har lite ressurser
RuleTriggerAnalyticsStartedTitle,Videoanalysehendelse startet
RuleTriggerAnalyticsStartedClause,%1% startet på %2%
RuleTriggerAnalyticsEndedTitle,Videoanalysehendelse sluttet
RuleTriggerAnalyticsEndedClause,%1% sluttet på %2%
RuleTriggerTamperingTitle,Inngrep oppdaget
RuleTriggerTamperingClause,inngrep er oppdaget på %1%
RuleTriggerMotionEndedTitle,Bevegelsesdeteksjon avsluttet
